SAMPLE,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,TYPE
TCGA.28.5208.01A.01R.1850.01,0.003432812,0.000509367,0.000499327,0,0,0.059541147,0,0.043217411,0.003810715,0.019780607,0,0.052011646,0.175364414,0.057418876,0.011508572,0.441381124,0,0,0.121423297,0,0,0.010100686,no alteration
TCGA.27.1834.01A.01R.1850.01,0,0.005337125,0,0.031777719,0,0.12223507,0,0.021000208,0,0,0,0.027281017,0.281719771,0,0.114913373,0.265902555,0,0.001187008,0.064609742,0,0.064036414,0,MUT
TCGA.14.0817.01A.01R.1849.01,0.001405653,0.000815502,0,0,0,0.058628344,0,0.010938514,0.00125572,0.035909361,0,0.024526305,0.189537431,0.059736748,0.029686817,0.485128776,0,0,0,0.089281805,0.005409441,0.007739582,no alteration
TCGA.06.5859.01A.01R.1849.01,0.033939582,0,0.001061059,0.022258801,0,0.154822024,0,0.000991711,0,0.020485982,0,0.0107858,0.191394877,0,0.032025572,0.515064562,0,0,0,0.01392117,0,0.003248859,no alteration
TCGA.76.4925.01A.01R.1850.01,0.006686732,0,0,0.052490137,0,0.018272933,0,0.002606636,0,0,0.029386574,0,0.107962903,0.362636278,0.030663669,0.343715697,0,0,0,0,0.022087832,0.023490608,MUT
TCGA.06.2558.01A.01R.1849.01,0.004172694,0.001082024,0,0.017340804,0,0.072908076,0,0.003823157,0,0,0.01999707,0.007178166,0.122144707,0.198285166,0.011617567,0.43900855,0,0,0.025531851,0,0.042614605,0.034295564,MUT
TCGA.06.0211.01B.01R.1849.01,0.024028242,0,0,0,0,0.069138086,0,0.007095673,0,0,0.040133738,0,0.028685625,0.2842506,0.022584018,0.489979814,0,0,0.024119202,0,0,0.009985001,no alteration
TCGA.28.1753.01A.01R.1850.01,0,0.000976553,0,0.004484916,0,0.013416717,0,0.011503766,0,0.006841258,0,0.010734569,0,0.505725612,0.017841016,0.425330174,0,0,0.001121621,0.002023799,0,0,MUT
TCGA.06.0130.01A.01R.1849.01,0.010480006,0,0.001044048,0.011697455,0,0.171254897,0,0,0.002513388,0.042954623,0,0.028776315,0.166640895,0.002006372,0.113354343,0.416367801,0.009758944,0,0.018311944,0,0.00043227,0.004406698,HOMDEL 
TCGA.06.2559.01A.01R.1849.01,0,0,0.001332676,0.019896037,0,0.054913687,0,0.014547911,0.013980531,0,0.020986778,0.016363399,0.007446245,0.382935766,0.015094756,0.440655529,0,0,0,0,0,0.011846686,MUT
TCGA.06.0743.01A.01R.1849.01,0.010860628,0,0.000278534,0.067213754,0,0.057181573,0,0.010583556,0,0,0.009673081,0.006906192,0.093115701,0.323553115,0.036954544,0.354827798,0,0,0.022061145,0,0,0.006790379,HOMDEL 
TCGA.19.1787.01B.01R.1850.01,0,0.01219079,0,0.020385002,0,0.098948486,0,0.007105903,0,0,0.023518382,0,0.055462053,0.27709825,0.072816071,0.38421529,0,0,0.043108575,0,0.001159736,0.003991462,no alteration
TCGA.27.2524.01A.01R.1850.01,0.002267494,0,0.002512674,0,0,0.050063414,0.008637676,0.042066797,0.005999853,0.038991271,0.049779048,0,0,0.500794536,0.018972199,0.211773297,0,0,0,0.063906525,0.003648054,0.00058716,MUT
TCGA.06.5416.01A.01R.1849.01,0.000845363,0.007412592,0,0.127969444,0,0.006571695,0,0.027657835,0.003208468,0,0.078231287,0,0,0.543505843,0.0201779,0.160423121,0,0,0.015533089,0,0,0.008463364,no alteration
TCGA.06.0686.01A.01R.1849.01,0,0.00726813,0.002826792,0,0,0.106662477,0,0.035740137,0.028935039,0,0.069694598,0,0,0.384710826,0.010225094,0.32806709,0,0,0.01160462,0,0.000248422,0.014016774,HOMDEL 
TCGA.27.2528.01A.01R.1850.01,0.0181193,0,0,0,0,0.092117081,0,0.02405903,0,0,0,0.002109066,0.042804643,0.360597904,0.063630574,0.347676524,0,0,0,0.046876914,0,0.002008965,no alteration
TCGA.26.5139.01A.01R.1850.01,0,0.003657656,0,0,0,0.075443007,0.003040051,0.008142074,0.018320017,0,0.091852773,0,0.034681418,0.25364432,0.018011216,0.42774482,0,0,0,0.054500753,0,0.010961894,no alteration
TCGA.06.2563.01A.01R.1849.01,0.015761828,0,0,0.026080919,0,0.139688254,0,0.026144007,0.011837596,0,0,0.038225182,0.045125588,0.128763225,0.082800754,0.410951414,0,0,0.0345839,0,0,0.040037332,no alteration
TCGA.14.1825.01A.01R.1850.01,0,0.009634248,0,0.019096481,0,0.096792517,0,0.01596286,0.018114586,0,0.075437585,0.024887022,0.081728118,0.237909972,0.021647807,0.283642612,0,0,0.096376891,0,0,0.018769301,HOMDEL 
TCGA.06.2562.01A.01R.1849.01,0.000895463,0.009385353,0,0,0,0.065882088,0.001172247,0.012272284,0.039137216,0,0.109438525,0,0.090081958,0.385387299,0.002189689,0.247732279,0,0,0,0.014051236,0,0.022374361,no alteration
TCGA.06.0132.01A.02R.1849.01,0.013248054,0,0,0.009933654,0,0.054799545,0.009228176,0,0.002834939,0,0.00461948,0,0.250415074,0,0.038695058,0.581612013,0,0,0.020944038,0,0,0.013669968,no alteration
TCGA.27.2523.01A.01R.1850.01,0,0.008961715,0.002145577,0,0,0.126323747,0,0.024670648,0.009212555,0.030651389,0,0.022493782,0,0.416759545,0.001236266,0.343055987,0,0,0.009816145,0,0,0.004672645,no alteration
