SAMPLE,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,TYPE
TCGA.D1.A16D.01A.11R.A12I.07,0.236451972,0,0.095825005,0.093107467,0,0.105464217,0,0,0.070624085,0,0,0.110263047,0,0.097843852,0,0.056820586,0.02805048,0.006604034,0.046796845,0,0,0.05214841,MUT
TCGA.BG.A0VX.01A.11R.A118.07,0.097163864,0,0.008696841,0.184088306,0,0.095193369,0.054771098,0.077221855,0.049402009,0,0,0.06384465,0.068937227,0.087925619,0.064725573,0.044536444,0.075984654,0,0.027508492,0,0,0,MUT
TCGA.EO.A1Y8.01A.11R.A157.07,0.019633279,0.012126063,0,0,0,0.354376591,0,0.038735881,0,0,0,0.24071867,0,0.186023935,0.036377713,0.038802014,0,0.052164329,0.021041525,0,0,0,no alteration
TCGA.A5.A0GB.01A.11R.A040.07,0.009623579,0,0.007368625,0.346160708,0,0.009193216,0.180126001,0.101194406,0.020915131,0,0,0.078001657,0,0.069821027,0.021428676,0.085270038,0.021882431,0.018335853,0.025513216,0,0,0.005165436,MUT
TCGA.EY.A210.01A.11R.A157.07,0.073120638,0,0.075707837,0.179096474,0,0,0.054319102,0.112646712,0.01783208,0.005837543,0,0.015881858,0,0.156236779,0.070498234,0.200937921,0.024267501,0,0.013617321,0,0,0,no alteration
TCGA.AJ.A3EL.01A.11R.A213.07,0.040816333,0,0.041031787,0.190851398,0,0.079595101,0.126104938,0.145989103,0,0.090124112,0,0.013397151,0,0.027670001,0.138716554,0.056096981,0,0,0.049606541,0,0,0,MUT
TCGA.B5.A11E.01A.11R.A10J.07,0.052903166,0,0.019002461,0.34748561,0,0.079484494,0.079806597,0.034304794,0.044663756,0,0,0.041568869,0.009782895,0.205932919,0.064808817,0.005920969,0,0,0,0.005304106,0.009030547,0,MUT
TCGA.BS.A0TD.01A.11R.A104.07,0.095273432,0,0.031140085,0.049534238,0,0.196447036,0,0.011481231,0.00694651,0,0.011176163,0.053657521,0,0.378342628,0.031826504,0.044180998,0.009288413,0.019454371,0,0.047067574,0,0.014183297,MUT
TCGA.AX.A2HD.01A.21R.A17B.07,0.120795036,0,0.021304847,0.164474663,0,0.129092788,0.01393329,0.113926677,0.008837953,0,0,0.03179646,0,0.216324375,0.084056618,0.063413829,0.004302428,0,0.025827668,0,0,0.001913367,MUT
TCGA.B5.A3FA.01A.11R.A19W.07,0.091309233,0,0.116453526,0.102298818,0,0.137456635,0.06192182,0.099741229,0.000530921,0.009895375,0.011551399,0.00945286,0.021072489,0.059777381,0.076191655,0.073113348,0,0.083644449,0.045588862,0,0,0,MUT
TCGA.QS.A8F1.01A.21R.A37O.07,0.131995907,0,0.337893763,0.050849547,0,0.044521649,0,0.022478279,0.001510883,0,0,0.083308157,0.001494482,0.112903403,0.038216566,0.094085994,0,0,0.080741371,0,0,0,no alteration
TCGA.D1.A0ZO.01A.11R.A118.07,0.122460648,0,0.021528711,0.085042263,0,0.183391029,0.039846008,0.076135417,0.094656198,0,0,0.04019975,0,0.093856603,0.105258482,0.048022287,0.009000859,0,0.080601746,0,0,0,MUT
TCGA.KP.A3W4.01A.11R.A22K.07,0.047371393,0,0.008517243,0.056120669,0,0.241324709,0.047217434,0.032067236,0,0.061856221,0,0.038401751,0,0.011957331,0.066870018,0.157809964,0,0.144173271,0.08631276,0,0,0,no alteration
TCGA.BG.A18B.01A.11R.A12I.07,0.007606031,0,0.008337561,0.161912876,0,0,0.182483831,0.03630015,0.013791067,0,0,0.154994565,0,0.17106574,0.050305993,0.120087372,0.042842981,0,0.050271833,0,0,0,MUT
TCGA.BK.A0CB.01A.32R.A104.07,0,0.008207257,0.012754248,0.03019663,0,0.082119674,0,0.017612539,0.038856836,0.009395932,0,0.065008063,0.015217019,0.483110911,0,0.164311086,0,0.025521601,0.047688204,0,0,0,MUT
TCGA.AX.A1CJ.01A.11R.A137.07,0.124438669,0,0.10219353,0.165197364,0,0.114895695,0,0,0.071655301,0,0,0.052636033,0.007285884,0.060511016,0.059995346,0.209520381,0,0,0.03167078,0,0,0,MUT
TCGA.K6.A3WQ.01A.11R.A22K.07,0.083101617,0,0.042362876,0.094944776,0,0.062994968,0,0.047259219,0,0,0,0.150067803,0.001299414,0.050595631,0.043251337,0.059133934,0,0.261183969,0.08618244,0,0,0.017622018,no alteration
TCGA.D1.A17H.01A.11R.A12I.07,0.045572467,0,0.004364367,0.264373512,0,0.076159164,0.004365909,0.025372747,0.117876411,0,0,0.088088995,0.027511134,0.107352789,0.046890979,0.12429389,0.003777615,0.014872852,0.04912717,0,0,0,HOMDEL 
TCGA.EY.A1GC.01A.11R.A13S.07,0,0.02048181,0.062185177,0.251231782,0,0.067509122,0.01548622,0.02426536,0.084601609,0,0,0.042856571,0.009083983,0.105688435,0.091030257,0.168263766,0.021539273,0,0.035776633,0,0,0,no alteration
TCGA.BK.A139.01A.11R.A277.07,0.058025946,0,0.011755564,0,0,0.269491057,0.038041535,0,0,0,0.019151597,0,0,0.145530872,0.13973586,0.232473392,0.005744181,0,0.028769823,0,0,0.051280173,MUT
TCGA.FI.A2CY.01A.11R.A17B.07,0.011954335,0,0.003639335,0.063171092,0,0.219746324,0.008484203,0.006631637,0.081398416,0,0.004586103,0.018734893,0,0.267925581,0.01953399,0.219283641,0.017900488,0.05044332,0.006566642,0,0,0,no alteration
TCGA.A5.A2K4.01A.11R.A18M.07,0.402501527,0,0.04940594,0.088188373,0,0.16950743,0,0,0,0.023513655,0,0,0,0.113904467,0.019495744,0.088382096,0,0.003754308,0,0.041346462,0,0,no alteration
TCGA.D1.A169.01A.11R.A12I.07,0.07709205,0,0.008464881,0.128643187,0,0.086390545,0,0.01299536,0.093278131,0,0,0.044124433,0,0.194073539,0.101675227,0.210701025,0.008438739,0,0.0245933,0,0,0.009529583,MUT
TCGA.BS.A0TE.01A.11R.A104.07,0.054178835,0,0.004575695,0.191485957,0,0.219789078,0.066727833,0.04442146,0.024750956,0,0,0.05174125,0.017716735,0.038917637,0.049557734,0.064619616,0,0.105267744,0.06624947,0,0,0,HOMDEL 
TCGA.BS.A0UJ.01A.12R.A104.07,0.015531487,0,0.006265597,0.16167361,0,0.024263506,0,0.037364911,0.102444904,0.158385935,0,0.141474817,0,0.098749758,0.070448746,0.068627544,0.017342669,0,0.097426515,0,0,0,MUT
TCGA.BS.A0TG.01A.32R.A16W.07,0.100752965,0,0.036020715,0.026166796,0,0.185049834,0.055010852,0,0.057719917,0.016567852,0,0.111781541,0,0.265070399,0.029518866,0.072594751,0.003949121,0.024431007,0,0.015365384,0,0,MUT
TCGA.AX.A1C9.01A.11R.A137.07,0.048083201,0,0.03412348,0.071527075,0,0.345227386,0.009404455,0.04001786,0.030380478,0.044847479,0,0.010041194,0,0.166843683,0.072939627,0.081384929,0.006812643,0.003722617,0.034643893,0,0,0,MUT
TCGA.AJ.A3NF.01A.11R.A22K.07,0.057225105,0,0.002602866,0.10474363,0,0.251557014,0.060788842,0.025565683,0.043020684,0.025264968,0,0.012532809,0.001199462,0.109353803,0.118758872,0.107379799,0.027895023,0.012905659,0.039205779,0,0,0,no alteration
TCGA.D1.A16I.01A.11R.A12I.07,0.087232172,0,0.023340277,0.209552657,0,0,0.004338823,0,0.041819112,0,0,0.002155025,0,0.50895407,0.048950083,0.044859849,0.009562932,0,0.019234999,0,0,0,no alteration
TCGA.BS.A0UA.01A.11R.A118.07,0.091975043,0,0.061822446,0.120726098,0,0.132876587,0.007638209,0.07157352,0.08629692,0,0,0.005730275,0,0.245265633,0.034933995,0.101138433,0.000530036,0.019705742,0.019787064,0,0,0,MUT
TCGA.D1.A103.01A.11R.A10J.07,0.059994138,0,0.115773719,0.074874413,0,0.265300913,0,0.059966565,0.029732018,0,0,0.086833905,0.000463472,0.020634509,0.075522076,0.130121917,0.006724431,0.017108582,0.056949341,0,0,0,MUT
TCGA.D1.A17R.01A.11R.A12I.07,0.071365666,0,0.001948332,0.027220838,0,0.156912398,0,0.044606094,0.023525295,0,0,0.045020429,0,0.508197469,0,0.034499352,0.026449241,0.058897162,0.001357724,0,0,0,MUT
TCGA.EY.A1GK.01A.11R.A13S.07,0.049165235,0,0.035139103,0.290184323,0,0,0.216321831,0.015176955,0.022260847,0,0,0.038080472,0,0.0730802,0.088990902,0.086439507,0.008282113,0,0.076251387,0,0,0.000627125,MUT
TCGA.AP.A1E0.01A.11R.A137.07,0.132007092,0,0.018659665,0.12267886,0,0.209061026,0.027705326,0.09965756,0.004967269,0.044217728,0,0.056932949,0,0.059971897,0.073505654,0.055034235,0.025212771,0.001568177,0.064765906,0,0.004053884,0,MUT
TCGA.EY.A1GF.01A.11R.A13S.07,0.014163866,0,0.010874528,0.038516729,0,0.247805854,0.043859687,0.1442803,0.00248885,0.018962337,0,0,0,0.273112015,0.040367471,0.119816833,0.000959372,0,0,0.033510145,0.011282013,0,MUT
TCGA.D1.A17B.01A.22R.A12I.07,0.066451123,0,0.02981192,0.085660814,0,0.063607946,0,0.017787039,0.111395131,0,0,0.098848996,0,0.379064554,0.010823819,0.0144955,0.009466027,0,0.038960935,0,0,0.073626194,MUT
TCGA.EO.A3B1.01A.12R.A19W.07,0.070537843,0,0.012237819,0.10616601,0,0.177290581,0.029668876,0.028649025,0.085728607,0,0,0.049983912,0.012539446,0.253648143,0.037187516,0.063924308,0.007737231,0.007979859,0.047267705,0,0,0.009453119,MUT
TCGA.AX.A3FW.01A.11R.A22K.07,0.057206574,0,0.012153738,0.019786859,0,0.3256779,0.00458243,0.074024647,0,0,0,0.018072832,0,0.221656422,0.021923957,0.112917909,0,0.108585636,0.023411097,0,0,0,MUT
TCGA.D1.A16V.01A.11R.A12I.07,0.038732718,0,0.056247571,0.131825152,0,0.100688545,0.00724999,0.128790535,0.07725007,0,0,0.033173015,0.000228725,0.107348812,0.110611778,0.115093423,0,0.054631467,0.0381282,0,0,0,MUT
TCGA.AX.A063.01A.11R.A00V.07,0.033813523,0,0.001977701,0.287203647,0,0.063847739,0.14600457,0.044559299,0.053551562,0.053484713,0,0.053789612,0,0.058760805,0.049858838,0.083259849,0.00961946,0,0.057516206,0,0,0.002752476,MUT
TCGA.B5.A11W.01A.12R.A118.07,0.052593482,0,0.037692685,0.073647507,0,0.286393124,0,0.013933402,0.039719607,0,0.014782504,0,0,0.392534928,0.00799286,0.054752539,0,0,0,0,0,0.025957361,MUT
TCGA.D1.A1NS.01A.11R.A14D.07,0.055463633,0,0.017615785,0.095906494,0,0.113918365,0,0.00993799,0.039883358,0,0,0.07940636,0,0.398243613,0,0.087821066,0.051281955,0.007103696,0,0.019872309,0.004696955,0.018848421,MUT
