SAMPLE,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,TYPE
TCGA-06-0156-01A,0.014067646,0,0.002229261,0.044711057,0,0.161574024,0,0.003174336,0,0,0.036714002,0,0.08345004,0,0.029671794,0.559444852,0,0,0,0.030681058,0,0.034281931,SNV
TCGA-76-4931-01A,0,0.021570045,0.001232784,0.026298316,0,0.081703617,0,0,0,0,0.058491123,0,0.043396424,0.402782176,0.047339574,0.284543275,0,0,0,0.023072316,0,0.009570351,SNV
TCGA-06-5858-01A,0,0.004206656,0.000261798,0,0,0.036682964,0,0.01345086,0.000616291,0.012348977,0,0.010064209,0.14832437,0.191803686,0.027763732,0.408255277,0,0,0,0.097743154,0.024331255,0.024146772,SNV
TCGA-06-2561-01A,0,0.023728866,0,0.043625485,0,0.066924202,0.019530744,0.009460367,0.006482889,0,0.001713269,0,0.424032104,0.065400383,0.00687247,0.270399725,0,0.001507491,0.028007446,0,2.55E-05,0.032289063,SNV
TCGA-27-2519-01A,0.027233003,0,0.003664019,0.029058337,0,0.114385593,5.61E-05,0,0,0,0.031705688,0,0.350268097,0,0.032582556,0.400351679,0,0,0.009479897,0,0,0.001215038,SNV
TCGA-32-2634-01A,0,0.010257619,0,0.013842645,0,0.003405529,0,0.049811536,0,0,0,0.024625785,0,0.355713772,0.035279157,0.382870262,0,0,0,0.085781821,0.028039484,0.010372389,SNV
TCGA-06-5412-01A,0.016877105,0,0.001981034,0.016459594,0,0.075839416,0.007104346,0.007230302,0,0,0,0.059162175,0.317525043,0,0.021957192,0.419596144,0,0,0,0.025521198,0.018160436,0.012586014,SNV
TCGA-27-1837-01A,0.003561805,0.018942016,0,0,0,0.180663982,0,0.005827209,0.011927868,0,0.102996729,0.046201272,0.154227819,0.063984035,0.184105781,0.155908425,0.010091497,0,0.053121725,0,0.000507105,0.007932736,SNV
TCGA-06-5418-01A,0,0.016142966,0,0,0,0.065255822,0,0.017871948,0.006701195,0,0.069087433,0,0.24456759,0.068409483,0.001171028,0.42331257,0,0,0,0.03003965,0.007311628,0.050128687,SNV
TCGA-41-4097-01A,0,0.013205201,0.0001749,0.039765202,0,0.121330738,0.023958973,0.006075576,0.035336637,0,0.086893695,0,0.0640922,0,0.010455902,0.500125135,0.007896266,0,0,0.04773014,0,0.042959435,SNV
