"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"TCGA-76-4932-01A-01R-1850-01",0,0.00125215813162782,0,0,0,0.0869607126877653,0,0,0.00110713277306358,0,0,0.0449781379020633,0.273668984052828,0,0.0220208347709584,0.462760616175248,0,0,0.0414394398666496,0,0.0645225860718401,0.00128939756795614,0.32,0.0334871036901967,1.09793165481984
"TCGA-14-0790-01B-01R-1849-01",0.0110904516957552,0,0,0.0855489054004375,0,0.0253826469757304,0,0.0504426178688496,0,0.0267137125992788,0.00103684789964678,0.00231521202167085,0.148394469822687,0,0.193679409965577,0.419697654398026,0,0,0.0345345430052915,0,0,0.00116352834704976,0.22,0.0588832403673426,1.09165622750959
"TCGA-12-0619-01A-01R-1849-01",0.0107379758474382,0.0127876094510678,0,0.0559159867140288,0,0.0995465143492686,0.0216512089874432,0.0373650759267502,0.0108690106546349,0,0.0407357843546954,0,0.155997817156305,0,0.0310384011395947,0.41114215720409,0,0,0.0337083110180814,0,0,0.0785041471966016,0.14,0.0777952782870335,1.06010555314875
"TCGA-06-0156-01A-02R-1849-01",0.0140676457922283,0,0.00222926080177699,0.0447110565143574,0,0.161574023838885,0,0.0031743361072592,0,0,0.0367140023567326,0,0.0834500402720486,0,0.0296717939616418,0.559444851555865,0,0,0,0.0306810577541851,0,0.0342819310450201,0.16,0.0764736637379942,1.07461674183674
"TCGA-76-4931-01A-01R-1850-01",0,0.0215700446496071,0.00123278418594262,0.0262983159212456,0,0.0817036167341418,0,0,0,0,0.0584911227037334,0,0.0433964239062041,0.402782176054815,0.0473395739228877,0.284543275270837,0,0,0,0.0230723157356843,0,0.00957035091490166,0.04,0.140080690640252,1.07277040700917
"TCGA-06-0686-01A-01R-1849-01",0,0.0255033678818765,0.00158895246644203,0.0217876588599096,0,0.0591859976802935,0,0.0245587830657841,0.0282128279795082,0,0.0768466361076768,0,0,0.385904185813667,0.00894450854067276,0.346635324598381,0,0,0.00458381105168371,0,0.000787424171779965,0.0154605217823255,0,0.304501982353785,0.985031293112783
"TCGA-06-5858-01A-01R-1849-01",0,0.00420665612664343,0.000261797777637921,0,0,0.0366829642322741,0,0.0134508598272144,0.000616290847939537,0.0123489768008851,0,0.0100642092795774,0.148324369919646,0.191803686052321,0.0277637318945852,0.408255276525656,0,0,0,0.0977431536812329,0.0243312552350631,0.0241467717993239,0.02,0.223059113100209,1.02063463215613
"TCGA-32-2615-01A-01R-1850-01",0,0,0.00070680655443047,0.0492138227270883,0,0.172899369496907,0,0.0387007479811169,0.00322395478600534,0,0.014174578559177,0.0151968671620523,0.226018690229939,0.0317573989977078,0.0499931130019432,0.288387947540929,0,0.00326493149732825,0,0.0564486387547296,0.016541678108934,0.0334714546017125,0.3,0.0358184801050805,1.07457988101268
"TCGA-28-5218-01A-01R-1850-01",0.0397950183139569,0,0.00193663144108357,0.145757822652178,0,0,0.0268632743638228,0.045143948707372,0.0611068990857841,0,0.025186365981974,0,0,0.279702059676574,0.0303401804473992,0.311283527424931,0,0,0,0.0254568323920489,0,0.00742743951287593,0.02,0.141946571825555,1.04619692442093
"TCGA-06-2564-01A-01R-1849-01",0.00468311935301387,0.00154346244106691,3.27660828692821e-05,0,0,0.223033962004607,0,0.00802254114712124,0.00722317679680936,0,0.0680525611699284,0.0338769015483251,0.16683337884436,0.157181086716402,0.00325168368978019,0.182472243784715,0.000670804081065177,0,0.108381531042619,0,0,0.0347407812973167,0.08,0.0933726543211902,1.04660623924133
"TCGA-06-2561-01A-02R-1849-01",0,0.0237288663724273,0,0.0436254848023922,0,0.0669242017216534,0.0195307437677539,0.00946036655501668,0.00648288886778766,0,0.00171326883745469,0,0.42403210406402,0.0654003831712333,0.00687247028220612,0.270399724998284,0,0.00150749146260243,0.028007445580495,0,2.54963371201817e-05,0.032289063179554,0.24,0.0564992128756551,1.09323597770451
"TCGA-27-1831-01A-01R-1850-01",0,0,0.00156866501685011,0.0523253128644268,0,0.106201702272101,0,0.0191196843965947,0,0.0398003485847568,0,0.0272199559086365,0.170654498175993,0,0.041821482909674,0.472156437162119,0,0.00160979550731878,0,0.0190647809365298,0.0449842341528625,0.00347310211213681,0.08,0.0956428207624501,1.06036393183895
"TCGA-27-2519-01A-01R-1850-01",0.0272330033000813,0,0.00366401890832079,0.029058337431072,0,0.114385592593481,5.6092544692408e-05,0,0,0,0.0317056878153909,0,0.350268097134324,0,0.0325825557243163,0.400351679069682,0,0,0.00947989727427669,0,0,0.00121503820436244,0.08,0.0932078914079464,1.07001169720191
"TCGA-27-1835-01A-01R-1850-01",0,0.0205035746252507,0,0.038241659909966,0,0.0713464255747284,0,0.0419736402498925,0.0601670602711821,0.00296855232389177,0,0.0506766458959974,0,0.177042919328559,0.0241834537640818,0.418715041218932,0,0,0.0842142397838397,0,0,0.00996678705367926,0.18,0.0664904361137183,1.07398872698001
"TCGA-06-0138-01A-02R-1849-01",0.00307587506445515,0,0.00504463611397428,0.0261473452580545,0,0.0797134318050036,0,0.0255748536459584,0.01420624966359,0,0,0.0559539566138853,0.0860396688445983,0.20597799504589,0.0120203630313169,0.24706843181516,0,0,0,0.181164142007263,0.039455338232806,0.0185577128580453,0.02,0.176404878541202,1.03242270680269
"TCGA-32-1970-01A-01R-1850-01",0.00359426382672084,0,0,0,0,0.146479241139404,0,0.0405254512366185,0.019773543313279,0,0.0676050274660799,0.0222773287698857,0.0848015125551306,0,0.0482631372484824,0.295185825165103,0,0,0.151685950014124,0,0.079033055140062,0.0407756641251105,0.22,0.0596830839241611,1.05230010156207
"TCGA-06-0744-01A-01R-1849-01",0.0201437396664665,0,0,0.0572070792993228,0,0.071702565087751,0,0.0526664145417029,0,0,0,0.0191212442289188,0.192795584889931,0,0.042544533092943,0.494936145311271,0,0,0,0.020462176525403,0.0259532374828178,0.0024672798734716,0.04,0.117605560208518,1.05365029371764
"TCGA-32-2634-01A-01R-1850-01",0,0.0102576192688918,0,0.0138426451071656,0,0.00340552910558879,0,0.0498115357459267,0,0,0,0.0246257848548439,0,0.35571377248359,0.0352791566420708,0.382870262049225,0,0,0,0.0857818211549198,0.0280394843788298,0.0103723892089486,0.02,0.194413847288811,1.05312515264693
"TCGA-12-3652-01A-01R-1849-01",0.0359130217980645,0,0.00542481830974626,0.0932321487538183,0,0.11717821398666,0,0.058778601615983,0.00201983488108766,0.0264996343475802,0.00639656541759367,0,0.0385291413592575,0.0263408913740324,0.0424591911195295,0.53977226791069,0,0,0,0,0.00745566912595742,0,0.26,0.0469118171544863,1.08438178453575
"TCGA-32-2638-01A-01R-1850-01",0,0.00258925715119028,0.00130022737238675,0.0335944881080419,0,0.0952512396869588,0,0.00182398285012096,0,0,0.0299721552084967,0,0.243815749060154,0,0.0759364647980901,0.512814034690982,0,0,0,0,0,0.00290240107357783,0.24,0.0510022029069007,1.09627603303048
"TCGA-06-5412-01A-01R-1849-01",0.0168771048322258,0,0.00198103438297399,0.0164595944482015,0,0.075839415548715,0.00710434642202686,0.00723030249847159,0,0,0,0.0591621747882527,0.317525043394099,0,0.021957191909104,0.419596144255781,0,0,0,0.0255211981199197,0.0181604356877248,0.0125860137125039,0.24,0.0480588425862322,1.09228416081474
