pathway	pval	padj	log2err	ES	NES	size	leadingEdge
BIOCARTA_GSK3_PATHWAY	0.1175	0.173157894736842	0.206587922696891	-0.282705208460705	-1.33492823415211	15	Ppp2ca Gsk3b Pik3r1 Axin1 Eif2ak2 Apc Myd88 Ccnd1 Rela Pdpk1 Irak1 Pik3ca
BROWN_MYELOID_CELL_DEVELOPMENT_DN	0.153605015673981	0.204806687565308	0.13880510939114	0.151463182070554	1.30604276705074	64	Hsph1 Fkbp4 Tmem97 Trim28 Ifitm3 Hmgn1 Smarcc1 Nars Npm1 Nme1 Mboat2 Nt5c3b Sox4 Pgrmc1 Slc7a5 Mgat5 Ruvbl2 Trim37 Zfas1 Aasdhppt Ptpn9 Gas5 Parp8 Utp4 Cd48 Erh Gart Sinhcaf Nop56 Calr Slc1a5 Nop16 Slc16a1 Rif1 Eif4e Ncl Psat1 Ppan Cct6a Wdr43 Cdk4 Nt5c3 Nolc1 Odc1 Sf3b3 Gtpbp4
BROWN_MYELOID_CELL_DEVELOPMENT_UP	0.000663427553828836	0.0016887246824734	0.477270815362862	0.20529965311146	2.36112746227578	115	Aoah Lcn2 C3 Fpr1 Grn Fpr2 Slc31a2 Wfdc21 Il1b Tyrobp Hck Tlr2 Il1rn Mpeg1 Msrb1 Clec4a2 Cd52 Siglece Grina Cybb Anxa5 Cpd Rack1 Mcemp1 Slc15a3 Dstn Pgd Ccnd2
CHEN_LIVER_METABOLISM_QTL_CIS	0.662957074721781	0.713953772777302	0.0540088272801684	0.125692108927665	0.828286148899766	33	Fcer1g Nenf Igsf8 Scly Mlph 2310009B15Rik Soat1 Smyd2 Hes6 Cyb5r1 Tmem183a
COATES_MACROPHAGE_M1_VS_M2_DN	0.0372069831372174	0.061282089873064	0.321775918075361	-0.19234762695604	-1.61980181617214	48	Arg1 Thbs1 Flrt2 Rgcc Hilpda Cytip Adam8 Chil3 Egln3 Ankrd37 Cblb Cd24a Xdh Slc2a1 Vegfa F7 Fam241a Hspa1a F10 Qrich1 Tulp4 Bst1 Hs6st1
COATES_MACROPHAGE_M1_VS_M2_UP	0.312101910828025	0.379950152312379	0.0925528864684773	0.157459280054497	1.11593569279761	39	Marcksl1 Dst Aif1 Rab10 Slc7a7 Nrcam Hmgn3 Rapsn Cadm1 Glo1 Tm7sf3 Ttc3 Pianp
FOSTER_TOLERANT_MACROPHAGE_DN	3.01445796523059e-23	8.44048230264564e-22	1.24623277191648	-0.313685467658557	-6.19519198742344	254	Gda Aff1 Alcam Tiparp Mndal Junb Zfp36 Ifi203 S100a10 Cxcl3 Plaur Fos Cdkn1a Nfil3 Pim1 Gadd45g Cd86 Fmnl2 Il13ra1 Rin2 Arhgef3 Rhoh Vcan Ranbp2 Mmp13 Jarid2 Zc3h7a Chd7 Parp14 Creb5 Pcgf5 Camk2d Atp11b Ifih1 Arhgap26 Rel Med13l Abtb2 Map3k8 Atp9b Slfn5 Malt1 Rai14 Arf4 Etv3 Tet2 Tbc1d1 Irf2 Lrrfip1 Prr5l Nlrc5 Tubb6 Dennd1b Glipr2 Ctsc Ext1 Errfi1 Etv6 Tcf4 Hbegf Nfkbiz Nsd3 Aim2 Map2k4 Nr3c1 Ilrun Il15 Chst11 Dusp5 Sec24b Il4ra Kpna3 Tra2a Pik3r6 Samhd1 Gbp3 Zyx Filip1l Akt3 Chd1 Prkx Ubash3b Ripk2 Tiam1 Mgat4a Tle3 St6galnac4 Pla2g4a Cd83 Arid5a Pdlim5 Lpar1 Trim26 Gbp7 Tasor2 Syne3 Sp110 Nampt B4galt5 Cemip2 Nek6 Lmna Cited2 Gcnt2 Tut7 Trmt61b Ikzf1 Ppp1r15b Gk Srsf3 Adgrg6 Igtp Plekha2 Stat3 Socs3 Fkbp5 Fam241a Cxcl1 Zdhhc21 Mafk Plekhf2 Fmr1 Hivep2 Tmem243 Phc2 Zup1 Armc8 Daxx Tnfrsf12a Ezr Mtmr14 Lrch1 Lcp2 Fnbp4 Tab2 Homer1 Olr1 Setdb2 Mxd1 Minpp1 Mtus1 Mob3b Fez2 Aida Whamm Rffl Tpm4 Tor1aip2 Vcpip1 Socs7 Dnaja2 Frmd4a Xrn1 Sfpq Adap2 Ogfrl1
FOSTER_TOLERANT_MACROPHAGE_UP	4.46340399830087e-12	6.24876559762122e-11	0.887074988399873	0.35268897634816	4.0271955003004	113	Saa3 Aoah Cfb Cd38 Lcn2 Hp Lmo4 Clec4e Fpr1 Tank Fpr2 Irak3 Slc31a2 Ptges Selenow Slc13a3 Tnfrsf1b Ms4a6c Nav2 Zc3h12c Irf7 Igsf6 Rnf149 Nupr1 Il1rn Spic Rbpms Ly6i Rab32 Ppm1h Rab10 Slc31a1 Ass1 Pgap2 Adora2a Id3 Bst2 Met 2510009E07Rik Tmcc3 Psmd10 Agtrap Slc7a11 Slc16a3 Cdc42ep2 Itgal Rab20 Ms4a6d Ell2 Phlpp1
GALINDO_IMMUNE_RESPONSE_TO_ENTEROTOXIN	0.00964563685786422	0.0192912737157284	0.380730400722792	-0.188640009849864	-1.91828104782332	68	Spp1 Ccl9 Dusp1 Cebpb Junb Lilrb4a Plaur Rhob Pim1 Cd44 Slfn4 Bhlhe40 Tnf Phlda1 Cxcl2 Nfkbia Errfi1 Slfn2 Vegfa Ubc Ccl4 Cd83 Ptpre Bcl10 Txnip Itga5 Socs3 Glrx Adora2b Actg1
LIAN_LIPA_TARGETS_3M	4.83597654281822e-08	4.51357810663034e-07	0.719512826338911	0.416995600194415	3.26505508375423	50	Saa3 Acp5 Ms4a7 Pla2g7 Clec4e Fcer1g Cfp Tnfaip2 Clec4d Ms4a6c Igsf6 Slc11a1 Ctsb Spic Mpeg1 Gpnmb Ly9 C1qa C1qc Slc15a3 C1qb Neu1
