pathway	pval	padj	log2err	ES	NES	size	leadingEdge
ABBUD_LIF_SIGNALING_1_UP	0.566445182724253	0.687213257395982	0.0635007968065945	0.159658128079157	0.902428580809381	23	Lcn2 Tmem176b Tspan4 Tmem176a
AFFAR_YY1_TARGETS_DN	0.0223830810871681	0.0836381129957183	0.352487857583619	0.190752540867073	1.78702231634192	72	Lyz2 Ptgds Atp6v1e1 H2-K1 Tnfrsf1b Pfdn5 Gpr65 Vav1 Mki67 Ldlr Rest Scd2 Hmgb1 Eef1a1 Rab27a H2-D1 Slc29a1 Birc5 Cyp51 Myo1b Hmgcs1 Top2a Msmo1 Stmn1 Dnajc2 Idh1 Tcp1 Cenpf Prc1 Tgfbr1 Itga4 Rfc4 Cdca3 Mcm7 B3gat3 Lig1 Scarb1 Sqle Pola1 Mcm3 Khdrbs1 Mcm6
AFFAR_YY1_TARGETS_UP	0.140522875816993	0.283684610100864	0.149207542435322	0.173847924046363	1.31318400090833	46	Fyb Pltp Abca1 Itga9 Selenop Selenom Cryab Fas Icam1 Abcc5 Tpm1 Tpd52l1 Atp6v0e2 Pmm1
APRELIKOVA_BRCA1_TARGETS	0.0097170334952623	0.0469517006387459	0.380730400722792	0.30496481568223	1.93246499675844	30	Dnaja1 Sptan1 Anxa5 Ckb Atp6ap1 Tuba1a Sars Id3 Psmc1 Rit1 Tpm1 Eif3c Ddx1 Arf1 Ddx24 Hsp90aa1 Psmc2
BAKKER_FOXO3_TARGETS_DN	0.00840596198807511	0.0422559793212206	0.380730400722792	0.218121512856431	2.03777449928634	71	Slpi Por Tubb5 Rnaseh2c Rpp21 Tulp3 Mki67 Dgcr6 Hmgn1 Pop5 Wbp1 Ccs Pfkfb3 Lsm10 Ddx18 Soat1 Pcbp4 Wdr74 Cyp2j6 Tpgs1 Smc3 Psma1 Trim27 Klhl22 Skil Cetn2 Tceal9 Cdk2 Cyth2 Desi1 Pdlim7 Prkag1 Cops7a Rnaseh2a Snrpa Pcyt2 Sys1 Thumpd1 Rcor1 Tnrc18 Calu Med10 Strap Pafah1b2 Pole3 N4bp2l2 Ltn1 Cops8 Aprt Arf3
BAKKER_FOXO3_TARGETS_UP	0.0283994420102207	0.0961771286074017	0.352487857583619	-0.269474593108508	-1.74014237281691	28	Arg1 Btg1 Klf6 Osbpl9 Rgs2 Hipk1 Atp7a Vcl Tcp11l2 Slc12a6 Cited2 Cpeb4 Zup1 Pggt1b Cdkn1b Sesn1 Rbl2
BAUS_TFF2_TARGETS_UP	0.000890914652053978	0.00785623141625933	0.477270815362862	-0.47850218110575	-2.2727600934084	15	Crip1 Ccl8 Tap1 Slfn2 Ptpn22 Samhd1 Psmb9 Igtp Ogfr Psmb8 Ifit1
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN	0.043899826383966	0.128155482751109	0.321775918075361	-0.237486824699432	-1.58908467141053	31	Klf6 Lpp Hspa5 Rock1 Xbp1 Ext1 Vcl Ier2 Wsb1 Egr1 Igf1r Myl12a Nrp1 Ugcg
BERENJENO_TRANSFORMED_BY_RHOA_DN	4.3914761478637e-08	4.9228447617552e-06	0.719512826338911	0.222530861244562	3.30923747317255	218	Mmp14 Pltp Pla2g7 Itm2b Grn Ptprm Myo10 Cyb5a Rras Lamtor2 Tle5 P2rx4 St13 Grina Marcks Actb Tpp1 Sqstm1 Vegfb Glmp Sptan1 Ssbp4 Ergic3 Myl12b Ctsa Gabarap H3f3a Bri3 Ypel3 Gnai2 Rabac1 Aebp1 Dpp7 Gaa 1810058I24Rik Anxa6 Id3 Atp6v0d1 Gga2 Washc2 Vps28 Use1 Dctn2 Laptm4a Rtraf Cnpy2 Itpr2 Pld3 Map1lc3a Wls Mien1 Ifitm3 Gba Gnpda1 Kifap3 Gstm2 Wdr6 Fibp Ptov1 Gns Mt2 Nagk Nacc2 Sirt2 Atraid Sptbn1 Lipa Clta Zfp637 St3gal5 Tapbp Plpp3 Mt1 Slc44a2 S100a13 Gstm5 Cyp51 Maged1 Tm7sf3 Hsd17b11 Hmgcs1 Ttc3 Fkbp9 Sparcl1 Rragc Map1lc3b Atf5 Gamt Mxd4 Hcfc1r1 Hes6 Dhcr7 Dap Idh1 Pts Mroh1
BERENJENO_TRANSFORMED_BY_RHOA_UP	0.000947437858024998	0.00823316154144204	0.477270815362862	0.126848510836985	2.17315436584584	302	Saa3 Tmsb4x Bola2 Nmt1 Psmb5 Tmem176b Tmem176a Slc11a2 Hsph1 Tpi1 Rnaseh2c Gclm Snrpd2 Fkbp4 Esd Slco3a1 Taldo1 Pkp4 Pfdn6 Eif3b Phf5a Tmem97 Nubp1 Ldha Pttg1 Psmb3 Mki67 Cib1 Acsl5 Cct7 Brca1 Ppp1r14b Tfrc Stip1 Cbx5 Eif6 Lsm4 Cacybp Pmf1 Rangap1 Ell2 Sae1 H2-D1 Esf1 Cd151 Sorbs1 Nhp2 Nr4a1 Traf3 Actn1 Ddx18 Txn1 Ftsj3 Birc5 Dctpp1 Cyhr1 Lsm3 Psma1 Psma7 Nme1 Msn Tubg1 Dnph1 Dnajc9 Abcf2 Anapc15 Pfkl Top2a Capg Ei24 Fkbp2 Stmn1 Dnajc2 Cbx1 Gsto1 Polr2e Nudcd2 Snrpd3 Dek Pbx3 Emg1 Aimp2 Hsp90aa1 Prc1 Mrto4 Bub3 Abce1 Cct3 Psmd13 E2f1 Usp10 Psmc2 Lsm8 Kpnb1 Incenp Actl6a Rsl1d1 Ruvbl2 Rnaseh2a Trp53 Pprc1 Rfc4 Nop2 Tmpo Eif2b2 Rprd1b Pon2 Plscr1 Rfc3 Eif2s1 Ssrp1 Suz12 Banf1 Cdca8 Ipo5 Psmd11 Ggct Pno1 Nxt1 Mak16 Mcm7 Prim2 Srsf1 Sf3a3 Dnmt1 Brip1os Bop1 Lig1 Tyms Cks1b Mcm2 Timp1 Dtymk Rrm1 Usp1 Utp4 Cinp Nup62 Tgif1 Hprt Ncbp1 Ddx21 Pola1 Pgam1 Pclaf Rnps1 Mcm3 Gart Sinhcaf Uchl5 Rpa1 Snrpa1 Srm Lsm2 Usp14 Nop16 Ipo11 Rrs1 Cd93 Specc1 Inhba Hk2 Lats2 Cfl2 Ebna1bp2 Plekha1 Lrrc59 Eif3j1 Uba2 Nsmce4a Psat1 Rbm14 Rpf2 Ss18 Slbp Cks2 Nasp Gmnn Lin7c Vars Ptges3 Nedd4l Wdr43 Ran Ezh2 Ier3 Ccng1 Tardbp
