pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
TABULA_MURIS_SENIS_LARGE_INTESTINE_ENTEROCYTE_OF_EPITHELIUM_OF_LARGE_INTESTINE_AGEING,0.1,0.453051717949667,0.588162266804793,2.73202293618791,0,792,Fth1|Sod2|Pglyrp1|Cox7a2|Hint1|Uqcr10|Ndufb9|Acp5|Ndufa4|Mif|Ppia|Dbi|Lmo4|Tmsb4x|Cox8a|Aldoa|Cyba|Prdx5|Ndufa13|Uqcrq|Serbp1|Atp5e|Atp5l|Hsp90aa1|Chchd2|Atp6v0b|Prdx1|Hmgb1|Atp5j2|Cycs|Cyb5a|Tpi1|Cox6c|Grcc10|Cox5a|Elob|Rpl35|Ftl1|Cox6b1|Cox4i1|Atox1|Rpl36|Atp6v1f|Vamp8|Rps27|Hspe1|Atp5b|Atp5j|Atp5o|Chchd10|Cd63|Ubb|Cfl1|Sh3bgrl3|Snrpg|Rpl32|Txn1|Rps15a|Ctsz|D8Ertd738e|Pdap1|Rpl37a|Tubb4b|Rps17|Rpl31|Rplp1|Atp5c1|1810058I24Rik|Ifi27|Rpl28|Cdk2ap2|Uqcr11|Ptms|Serf2|Tecr|Pfdn5|Nedd8|Gpx4|Rpl8|Atp5h|Hmgb2|Rps27l|Map1lc3b|Rpl41|Arpp19|Blvrb|Uqcrh|Ndufs6|Mrpl52|Ndufb7|Vasp|Atp6v1g1|Pebp1|Calm2|Rpl24|Lamtor2|Rps19|Ndufc1|Bri3|Ran|Hspd1|Ndufa5|Rps15|Mlf2|Rpl23|Gapdh|Rpl6|Rbx1|Ndufa2|Prxl2b|Arpc1b|Psmb5|Uqcc2|Npm1|Cct7|Arg2|Abracl|Rpl21|Dnaja1|Naca|H3f3a|Atp5d|Rplp0|Bax|Rps8|Rps20|Ndufa7|Ywhae|Lamtor4|Gabarap|Rpl35a|Hsp90ab1|Ybx1|Romo1|Cdc37|Esd|Psenen|Rpl27|Ndufb2|Rps13|Rabac1|Fkbp4|Tuba4a|Eif5a|Prelid1|Tomm6|Oaz1|Cops9|Bola2|Cnih4|Edf1|Calm3|Psmb3|Rps12|Prdx2|Ndufb4|Ube2s|Set|Rps25|Polr2f|Myl12b|Cct5|Timm8b|Timm13|Ndufs7|Ndufb5|Psmc5|Snrpd2|Micos13|Gstm1|Tle5|Mrps33|Psmd7|Park7|Micos10|Scand1|Myl6|Cks2|Atp5g1|Atpif1|Hexa|Fdps|Hnrnpab|Fam104a|Polr2j|Ssu72|Dynlrb1|Mrps24|Rpl36al|Snrpe|Rpl27a|Ndufa12|Fis1|Gadd45b|Nme2|Tmem256|Reep5|Vps28|Mrpl12|Anp32a|Gstp1|Psmd4|S100a1|Mrpl57|Brk1|Ndufb8|Eef1d|Ddrgk1|Rex1bd|Cuta|Rnasek|Gng12|Sem1|Nop10|Creg1|Ncl|Cfdp1|Coa3|Pgam1|Sumo2|Cyc1|Slc25a39|Rpl18a|Syf2|Slc25a5|Nudc|Taldo1|Ndufc2|Cope|Psmc3|Ndufa11|Aup1|Mdh2|Eef1b2|Hsbp1|Mrps21|Atp5g3|Dad1|Snapc5|Pttg1|Rps27a|Selenom|Slc25a3|Sdhb|Lamtor5|Psma6|Tex261|Snu13|Pdcd5|Rps16|Jpt1|Mien1|Tmem14c|Tma7|Acot13|Rpl22|Mrpl51|Snrpb|Tmbim4|Calm1|Uqcrc1|Rnaseh2c|Ubxn1|Pcbd2|Cib1|Vdac3|Atp5a1|Supt4a|Trappc2l|Ccdc124|Rps26|Rps7|Txnl4a|Ndufs2|Polr1d|Cox20|Anapc13|Cox6a1|Tbca|Gclm|Swi5|Rpl11|Ndufs3|Tmem208|Trir|Zcrb1|Phf5a|Psma7|Polr2i|Pin1|Higd1a|Selenow|Atp5g2|Rab8a|Rpl29|Mdh1|Polr2k|Ddt|Sec62|Ndufb11|Vps29|Trappc5|Ndufb6|Snrpd3|Mrps14|Med28|Pgd|Mrpl34|Pfdn6|Srp14|Psmc4|Ndufa10|Pnkd|Pfdn2|Ergic3|Ier3ip1|Ssr4|Atg101|Glrx5|Rpl4|Naxe|Ctsb|Ube2m|U2af1|Hdgf|Lsm4|Dctn3|Banf1|Glrx3|Ost4|Sri|Prr13|Tmem134|Rp9|Emc6|Ndufb3|Mea1|Ppp1ca|Plekhj1|Rps23|Mrpl20|Lamtor1|Cox14|Fam32a|Adrm1|Polr2l|Dph3|Rpl15|Mvb12a|Txn2|Lsm6|Gadd45gip1|Higd2a|Sumo3|Eif6|Tomm20|Eif5|Tubb5|Naa38|Uba52|Ywhaq|Nfkbib|Ypel3|Acp1|Sin3b|Ccdc12|Rps3|Rpp21|Rplp2|Stub1|Cox7a2l|Aurkaip1|Wbp2|Tmco1|Acaa1a|Timm23|Nenf|Clta|Gtf2h5|Dnajc8|Ndufab1|0610012G03Rik|Phb2|Mrpl42|Rps14|Mrpl23|Uqcc3|Rbm3|Mrpl15|Bola3|Bsg|Bag1|Mrps36|Rpl36a|Timm17a|Tmed9|Tmed10|Trappc1|Atp6v0e|Rpl14|Commd3|Slirp|Rtraf|Psma1|Tmem160|Znhit1|Anp32b|Emg1|Suclg1|Samm50|Cops6|Rrp1|Polr2c|Eif3k|Arpc5l|Rack1|Ssna1|Srsf3|Ap2s1|Rpl22l1|Arpc4|Ier2|Atraid|Rwdd1|Mrpl28|Raly|Nol7|Trappc3|Bcap31|Rpl12|Sys1|Ndufv1|Rpl3|Sdhc|Anapc11|Pgls|Dpm3|Gtf3c6|Sec13|Rps2|Galk1|Rpl5|Mrps18a|Spag7|Mrpl43
ZHANG_UTERUS_C13_EPITHELIAL1_CELL,0.0128205128205128,0.190229299452577,0.692132186432516,2.72476767406062,0,248,Lcn2|Ifitm1|Cox7a2|Hint1|Uqcr10|Ndufa4|Mif|Cox8a|Ndufa13|Atp5mpl|Serbp1|Chchd2|Prdx1|Atp5j2|Cox6c|Cox5a|Cox7b|Cox6b1|Rps29|Cox4i1|Rpl36|mt-Cytb|Rps27|Hspe1|Atp5j|Chchd10|Rps21|Snrpg|Rpl32|Txn1|Rps15a|Rpl37a|Tubb4b|Rps17|Rpl37|Rplp1|Atp5c1|Rpl26|Uqcr11|Tecr|Atp5h|Rps27l|Atp1a1|Ldhb|Rpl41|Ubl5|Ndufs6|mt-Nd1|Ran|Cox7c|Rpl38|Hspd1|Ndufa5|Atp5k|Rpl23|Atp5md|C3|Psmb5|Npm1|Arg2|Rpl21|Uqcrb|Rps8|Ndufa7|Ifitm3|Hmgn1|Rpl27|Ndufb2|Rps13|Fkbp4|Tuba4a|Ndufa3|Bola2|Rpl34|Selenoh|Rps12|Ndufb4|Set|Polr2f|Myl12b|Timm8b|Rpl39|Snrpd2|Micos13|Gstm1|Tle5|Tmem176b|Atp5g1|Atpif1|Hnrnpab|Polr2j|Rpl36al|Snrpe|Ndufa12|Mrpl12|Mrpl57|Brk1|Ndufb8|Cuta|Tomm7|Nop10|Ncl|Stmn1|Coa3|Cyc1|Slc25a5|Rps28|Taldo1|Ndufc2|Ndufa11|Eef1b2|Atp5g3|Rps27a|Tmem14c|Ndufa1|Rpl22|Rnaseh2c|Cib1|Nhp2|Arl6ip1|Rps26|Rps7|Anapc13|Cox6a1|Top2a|Tbca|Gclm|Rpl11|Psma7|Polr2i|Mdh1|Mbd3|Ndufb6|Snrpd3|Mrps14|Mrpl34
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,0.00537634408602151,0.135170479824195,0.799301210833454,2.61605035958242,0,59,Ndufb9|Ndufa13|Atp5e|Atp5l|Atp5j2|Atp5b|Atp5j|Atp5o|Atp5c1|Atp5h|Ndufs6|Ndufb7|mt-Nd1|Ndufc1|Ndufa5|Atp5k|mt-Nd2|Ndufa2|mt-Atp8|Ndufv3|Atp5d|Ndufa7|Ndufb2|Ndufa3|mt-Atp6|Ndufb4|Ndufs7|Ndufb5|Atp5g1|Ndufa12|Ndufs5|Ndufb8|mt-Nd4l|Ndufc2|Ndufa11|Atp5g3|Sdhb|Ndufa1|Atp5a1|Ndufs2|Ndufs3|Atp5g2|Ndufb11|Ndufb6|Ndufa10
GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX,0.01,0.174599591335487,0.699963175225103,2.60065596397639,0,166,Cox7a2|Uqcr10|Ndufb9|Ndufa4|Cox8a|Ndufa13|Uqcrq|Atp5mpl|Atp5e|Atp5l|Atp5j2|Cox6c|Cox5b|Cox5a|Cox7b|Cox6b1|Cox4i1|mt-Cytb|Slc25a4|Atp5b|Atp5j|Atp5o|Chchd10|Atp5c1|Uqcr11|Atp5h|Uqcrh|Ndufs6|Mrpl52|Ndufb7|mt-Nd1|Ndufc1|Cox7c|Ndufa5|Atp5k|mt-Nd2|Ndufa2|Atp5md|mt-Atp8|Ndufv3|Uqcrb|Atp5d|Bax|Ndufa7|Romo1|Ndufb2|Ndufa3|Tomm6|mt-Atp6|Ndufb4|Timm13|Ndufs7|Ndufb5|Micos13|Timm10b|Mrps33|Micos10|Atp5g1|Mrps24|Ndufa12|Mrpl12|Mrpl57|Ndufs5|Ndufb8|Tomm7|mt-Nd4l|Cyc1|Slc25a5|Ndufc2|Ndufa11|Mrps21|Atp5g3|Sdhb|Ndufa1|Mrpl51|Uqcrc1|Atp5a1|Ndufs2|Cox6a1|Ndufs3|Atp5g2|Ndufb11|Ndufb6|Mrps14|Mrpl34|Ndufa10|Ndufb3|Mrpl20|Gadd45gip1|Immt|Tomm20|Cox7a2l|Aurkaip1|Timm23|Mrpl13|Ndufab1|Phb2|Mrpl42|Mrpl23|Uqcc3|Mrpl15|Mrps36|Timm17a
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS,0.00699300699300699,0.150454695519073,0.76929478101598,2.59024124056271,0,85,Uqcr10|Ndufb9|Ndufa4|Cox8a|Ndufa13|Uqcrq|Atp5e|Atp5l|Atp5j2|Cycs|Cox5b|Cox5a|Cox7b|Cox6b1|Cox4i1|mt-Cytb|Atp5b|Atp5j|Atp5o|Atp5c1|Uqcr11|Atp5h|Uqcrh|Ndufs6|Ndufb7|mt-Nd1|Ndufc1|Cox7c|Ndufa5|Atp5k|mt-Nd2|Ndufa2|mt-Atp8|Ndufv3|Uqcrb|Atp5d|Ndufa7|Ndufb2|Ndufa3|mt-Atp6|Ndufb4|Ndufs7|Ndufb5|Atp5g1|Ndufa12|Ndufs5|Ndufb8|Cyc1|Ndufc2|Ndufa11|Atp5g3|Ndufa1|Uqcrc1|Atp5a1|Ndufs2|Cox20|Cox6a1|Ndufs3
WP_ELECTRON_TRANSPORT_CHAIN,0.0062111801242236,0.143929026021878,0.771670153523075,2.58648942093683,0,77,Cox7a2|Uqcr10|Ndufb9|Cox8a|Uqcrq|Atp5e|Atp5l|Atp5j2|Cox6c|Cox5b|Cox5a|Cox7b|Cox4i1|mt-Cytb|Slc25a4|Atp5b|Atp5j|Atp5o|Atp5c1|Uqcr11|Atp5h|Uqcrh|Ndufs6|Ndufb7|mt-Nd1|Ndufc1|Ndufa5|mt-Nd2|Ndufa2|mt-Atp8|Ndufv3|Uqcrb|Atp5d|Ndufa7|Ndufb2|mt-Atp6|Ndufb4|Ndufs7|Ndufb5|Atpif1|Ndufa12|Ndufs5|mt-Nd4l|Slc25a5|Ndufc2|Atp5g3|Sdhb|Ndufa1|Uqcrc1|Atp5a1|Ndufs2|Cox6a1
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.00826446280991736,0.162045966360296,0.730514201158757,2.56784406043494,0,120,Cox7a2|Uqcr10|Ndufa4|Cox8a|Uqcrq|Atp5e|Atp6v0b|Atp6v1e1|Atp5j2|Cyb5a|Cox6c|Cox5b|Cox5a|Cox7b|Cox6b1|Cox4i1|Atp6v1f|Slc25a4|Atp5b|Atp5j|Atp5o|Atp6v0c|Atp5c1|Uqcr11|Gpx4|Atp5h|Ldhb|Uqcrh|Ndufs6|Ndufb7|Atp6v1g1|Ndufc1|Cox7c|Ndufa5|Atp5k|Ndufa2|Uqcrb|Atp5d|Bax|Ndufa7|Ndufb2|Ndufa3|Polr2f|Timm8b|Timm13|Ndufs7|Ndufb5|Atp5g1|Ndufb8|Ldha|Cyc1|Slc25a5|Ndufc2|Mdh2|Atp5g3|Slc25a3|Sdhb|Ndufa1|Atp6v1d|Uqcrc1|Vdac3|Atp5a1|Ndufs2|Cox6a1|Ndufs3
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,0.0072992700729927,0.155707407982606,0.736236356946484,2.54764486372792,0,100,Uqcr10|Ndufb9|Ndufa4|Cox8a|Ndufa13|Uqcrq|Atp5e|Atp5l|Atp5j2|Cycs|Cox5b|Cox5a|Cox7b|Cox6b1|Cox4i1|mt-Cytb|Atp5b|Atp5j|Atp5o|Atp5c1|Uqcr11|Atp5h|Ldhb|Uqcrh|Ndufs6|Ndufb7|mt-Nd1|Ndufc1|Cox7c|Ndufa5|Atp5k|mt-Nd2|Ndufa2|mt-Atp8|Ndufv3|Uqcrb|Atp5d|Ndufa7|Ndufb2|Ndufa3|mt-Atp6|Ndufb4|Ndufs7|Ndufb5|Atp5g1|Ndufa12|Ndufs5|Ndufb8|Ldha|Cyc1|Ndufc2|Ndufa11|Mdh2|Atp5g3|Sdhb|Ndufa1|Uqcrc1|Atp5a1|Ndufs2|Cox20|Cox6a1|Ndufs3
TABULA_MURIS_SENIS_MARROW_ERYTHROBLAST_AGEING,0.00892857142857143,0.166962256138686,0.682053475863084,2.54517350742922,0,156,Lcn2|Wfdc21|Lyz2|Slpi|Ifitm2|Fcer1g|Hp|Pglyrp1|S100a8|Hint1|Cd52|Ppia|Dbi|Tmsb4x|Aldoa|Cyba|Hsp90aa1|Prdx1|Cycs|Tyrobp|S100a9|Rpl35|Arhgdib|Cox4i1|Rpl36|Atp5b|Sh3bgrl3|Rpl32|Rps15a|Rpl37a|Rps17|Nme1|Rpl37|Rplp1|Rpl8|Rpl41|Eif2s2|Rpl24|Rps19|Rpl38|Rps15|Son|Rpl23|Gapdh|Rpl6|Npm1|Naca|Rplp0|Rps8|Rps20|Ifitm6|Hsp90ab1|Rpl27|Rps13|Pkm|Rps12|Rps25|Park7|Rsrp1|Rpl36al|Rpl27a|Rexo2|Ldha|Ncl|Rpl18a|Rps28|Eef1b2|Rps27a|Rps16|Calm1|Fau|Arl6ip1|Rps7|Eef2|Tfrc
GOCC_RESPIRASOME,0.00598802395209581,0.140270860148861,0.754667647513554,2.51825111753881,0,73,Cox7a2|Uqcr10|Ndufb9|Ndufa4|Cox8a|Ndufa13|Uqcrq|Cox6c|Cox5b|Cox5a|Cox7b|Cox6b1|Cox4i1|mt-Cytb|1810058I24Rik|Uqcr11|Uqcrh|Ndufs6|Ndufb7|mt-Nd1|Ndufc1|Cox7c|Ndufa5|mt-Nd2|Ndufa2|Ndufv3|Uqcrb|Ndufa7|Ndufb2|Ndufa3|Ndufb4|Ndufs7|Ndufb5|Ndufa12|Ndufs5|Ndufb8|mt-Nd4l|Cyc1|Ndufc2|Ndufa11|Sdhb|Ndufa1|Uqcrc1|Ndufs2|Cox6a1|Ndufs3|Higd1a|Ndufb11|Ndufb6|Ndufa10
