"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",4.51351096480833e-158,1.21077125635275,0.999,0.956,9.02702192961665e-155,"1","Fabp5"
"2",9.13796561643869e-149,0.891220438813353,0.996,0.971,1.82759312328774e-145,"1","Lgals3"
"3",4.02703166863191e-140,1.36302432834391,0.922,0.706,8.05406333726381e-137,"1","Pf4"
"4",9.61692419095647e-123,1.04756315075316,0.928,0.812,1.92338483819129e-119,"1","Pdpn"
"5",1.40565735106509e-109,0.725495091789791,0.983,0.894,2.81131470213019e-106,"1","Cd68"
"6",3.47887964205876e-108,0.894077979538224,0.996,0.958,6.95775928411752e-105,"1","Abca1"
"7",9.78195369545991e-86,0.646226618836598,0.986,0.942,1.95639073909198e-82,"1","Acp5"
"8",8.38967494984405e-82,1.07667214572728,0.791,0.5,1.67793498996881e-78,"1","Cd36"
"9",2.63394263447313e-78,0.736682434844014,0.884,0.673,5.26788526894626e-75,"1","Emp1"
"10",3.18956338028234e-72,0.695175264918231,0.96,0.924,6.37912676056468e-69,"1","Airn"
"11",6.4246712098015e-68,0.766156955709982,0.897,0.683,1.2849342419603e-64,"1","Rgs1"
"12",2.17707849338192e-67,0.833482232250523,0.781,0.613,4.35415698676383e-64,"1","Trem2"
"13",4.48516684513273e-60,0.763612693364546,0.966,0.889,8.97033369026546e-57,"1","Hmox1"
"14",3.22774970834157e-41,0.60822806471266,0.905,0.788,6.45549941668315e-38,"1","Ccl9"
"15",4.24333277203416e-41,0.685164822527594,0.335,0.485,8.48666554406832e-38,"1","Hba-a1"
"16",8.46387582818049e-36,1.06738213682047,0.739,0.765,1.6927751656361e-32,"1","Fabp4"
"17",2.02097868795439e-34,0.598913527339311,0.771,0.657,4.04195737590878e-31,"1","Ccl7"
"18",8.30646423128171e-16,1.32043879667343,0.53,0.282,1.66129284625634e-12,"1","Mmp12"
"19",9.210299285974e-09,0.867783819419349,0.66,0.567,1.8420598571948e-05,"1","Hbb-bs"
"20",7.40175896362903e-08,0.605615824531605,0.481,0.236,0.000148035179272581,"1","Atp6v0d2"
"21",1.21834588105809e-153,1.23794773816099,0.985,0.913,2.43669176211617e-150,"2","Aif1"
"22",1.64311414423644e-134,1.77360122186596,0.964,0.913,3.28622828847288e-131,"2","C1qa"
"23",6.14871584246547e-131,1.25013118012691,0.982,0.941,1.22974316849309e-127,"2","Ms4a7"
"24",5.24938631944943e-124,1.36013258441539,0.972,0.898,1.04987726388989e-120,"2","C1qb"
"25",8.66932072964183e-119,1.32231252615148,0.966,0.929,1.73386414592837e-115,"2","C1qc"
"26",1.93631302995247e-104,1.13191805242761,0.924,0.8,3.87262605990493e-101,"2","Frmd4b"
"27",2.49576227723378e-101,1.23402576164339,0.957,0.909,4.99152455446755e-98,"2","Pltp"
"28",1.8390188355214e-98,0.947559006962077,0.982,0.953,3.67803767104281e-95,"2","Adgre1"
"29",3.13264434525392e-98,0.813043127500415,0.943,0.767,6.26528869050784e-95,"2","Folr2"
"30",1.72257818337653e-69,0.588944672145345,0.768,0.509,3.44515636675306e-66,"2","Cbr2"
"31",3.77257360872195e-63,0.705162304257711,0.922,0.848,7.5451472174439e-60,"2","Slc13a3"
"32",1.13793283476695e-57,0.641668534930257,0.939,0.909,2.27586566953391e-54,"2","Cfb"
"33",1.6344934191765e-52,0.722284144307627,0.93,0.858,3.268986838353e-49,"2","Stab1"
"34",3.26731535512325e-46,0.739225244805154,0.916,0.882,6.53463071024649e-43,"2","Ccl5"
"35",4.62548481731741e-44,0.604314562205555,0.99,0.899,9.25096963463482e-41,"2","Ly6e"
"36",7.6426729600745e-37,0.764003578267775,0.802,0.574,1.5285345920149e-33,"2","H2-Aa"
"37",6.18917709462996e-32,0.570877718628733,0.752,0.519,1.23783541892599e-28,"2","H2-Eb1"
"38",1.012747763297e-26,0.58767888525465,0.874,0.708,2.025495526594e-23,"2","Cd74"
"39",2.91889477029555e-11,0.609579877149484,0.623,0.534,5.8377895405911e-08,"2","Ly6a"
"40",1.27267621996176e-10,1.08659174086991,0.612,0.486,2.54535243992352e-07,"2","Ccl8"
"41",8.59637486347714e-146,1.78306997998909,0.987,0.975,1.71927497269543e-142,"3","Il1b"
"42",3.88751766397152e-142,1.79757044494212,0.989,0.972,7.77503532794305e-139,"3","Slpi"
"43",2.52137883928417e-130,1.25215269589944,0.997,0.958,5.04275767856834e-127,"3","Cxcl2"
"44",2.14511815762265e-117,1.20296695568998,0.994,0.966,4.29023631524529e-114,"3","Clec4e"
"45",2.4348688323617e-95,0.84818120744308,0.992,0.961,4.8697376647234e-92,"3","Nfkbia"
"46",4.33992477422213e-95,1.42756262055116,0.999,0.993,8.67984954844426e-92,"3","Saa3"
"47",1.15423069372294e-91,0.78850715127224,0.964,0.953,2.30846138744589e-88,"3","Lcn2"
"48",6.81283789726937e-91,1.08602075030862,0.954,0.846,1.36256757945387e-87,"3","Slc7a11"
"49",5.7797075477544e-90,0.910006957875635,0.976,0.913,1.15594150955088e-86,"3","Traf1"
"50",1.11779825806747e-79,1.01509649153224,0.915,0.784,2.23559651613494e-76,"3","F10"
