"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Saa3",0,-3.71227834653983,0.095,0.723,0
"Lcn2",0,-2.41261515327042,0.036,0.256,0
"Igkc",0,-2.0499911499048,0.065,0.387,0
"Wfdc21",0,-1.52073326358923,0.022,0.15,0
"Slpi",1.36416252570234e-97,-0.649852443316214,0.143,0.24,3.01657259308558e-93
"Ccl5",2.68113601739633e-74,-0.546698768575862,0.099,0.173,5.92879607526851e-70
"Lyz2",2.02603285844171e-07,-0.539645540702766,0.467,0.49,0.00448016645987215
"Lst1",3.38729492647453e-58,-0.530919522476185,0.276,0.363,7.49032527091313e-54
"Bc1",2.24719637627233e-291,-0.461377321608135,0.915,0.944,4.969225346851e-287
"Nusap1",0,-0.447717055017475,0.263,0.52,0
"Dct",0,-0.420905446031391,1,1,0
"Hspb1",1.99609733403488e-79,-0.410708783402206,0.624,0.693,4.41397003475132e-75
"Mlana",0,-0.405450034239673,0.998,1,0
"Dbi",0,-0.399146901633944,1,1,0
"Arhgdib",0,-0.395916754440329,0.997,0.999,0
"Gsta2",0,-0.394975061676247,0.906,0.942,0
"Ptgds",0,-0.394867115204498,0.999,1,0
"Uqcr10",0,-0.389709493287268,1,1,0
"Hp",5.19244921266411e-57,-0.389463049418319,0.06,0.112,1.14820629439642e-52
"Hint1",0,-0.382677652610546,1,1,0
"Top2a",5.07878013976956e-135,-0.372973549184286,0.798,0.838,1.12307065230724e-130
"Birc5",8.48581957323631e-154,-0.372457809620243,0.753,0.8,1.87646928222975e-149
"mt-Nd1",0,-0.371323044941903,1,1,0
"Tubb4b",3.91097211894133e-201,-0.365896018234641,0.981,0.988,8.64833264661497e-197
"Atp5j2",0,-0.365146182530467,1,1,0
"Bfsp2",0,-0.36168423195249,0.762,0.848,0
"Spc25",1.12568780199206e-258,-0.353500725545677,0.362,0.573,2.48923343654503e-254
"Plk1",0,-0.352511636264598,0.212,0.435,0
"Hspe1",0,-0.349553510297592,1,1,0
"Ndufb2",0,-0.348530279291778,0.999,1,0
"Aebp1",0,-0.347791911443992,0.997,0.999,0
"Sox10",0,-0.342808956079342,0.984,0.994,0
"Cryab",0,-0.342093282379423,0.994,0.997,0
"Ptms",0,-0.337757830195571,0.999,0.999,0
"Ndufa5",0,-0.336496195267952,1,1,0
"Coq8a",3.14162915389749e-211,-0.336411585169531,0.622,0.754,6.94708454801353e-207
"Dnaja1",0,-0.33443559110311,0.999,0.999,0
"Bmyc",0,-0.3342423498212,0.957,0.976,0
"Stmn1",3.73807759952391e-218,-0.332351065495294,0.91,0.944,8.26601099582722e-214
"Ndufa13",0,-0.327035449484796,1,1,0
"Cenpf",2.33658634525395e-63,-0.326775512539568,0.625,0.68,5.16689338526007e-59
"Gcat",0,-0.32648493254543,0.307,0.574,0
"Uap1l1",0,-0.32602338577701,0.968,0.985,0
"Aoah",2.4265328355046e-39,-0.325283195415044,0.079,0.124,5.36579205915133e-35
"Atp5mpl",0,-0.32425669559729,1,1,0
"St13",0,-0.32388167184554,1,1,0
"Gm10639",0,-0.323364316844313,0.404,0.635,0
"Uqcc2",0,-0.322043251023243,0.997,0.999,0
"Il1b",6.65589356799624e-20,-0.321407771372256,0.159,0.202,1.47181774469101e-15
"Smarcd1",0,-0.319111795286886,0.894,0.94,0
