"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ccl6",0,2.04721367674695,0.448,0.105,0
"Cd74",0,1.96283118542813,0.532,0.156,0
"Arg1",0,1.92334080612551,0.314,0.06,0
"Spp1",0,1.77351886148187,0.529,0.218,0
"Ccl8",0,1.61765252124014,0.241,0.061,0
"H2-Aa",0,1.53414607878288,0.261,0.065,0
"H2-Ab1",0,1.48060567665804,0.362,0.089,0
"H2-Eb1",0,1.4344934847849,0.201,0.052,0
"Pf4",2.55685081325755e-235,1.34101595198592,0.264,0.115,5.65396420335642e-231
"Gm42418",0,1.31373322322639,1,1,0
"Srgn",6.38395636395667e-204,1.30601958622293,0.458,0.302,1.41168427076174e-199
"Ccl2",3.42830250787482e-284,1.28373571520208,0.245,0.092,7.58100533566359e-280
"Fn1",0,1.27085446575129,0.587,0.253,0
"Ccl7",1.68228698396866e-218,1.218916212647,0.201,0.078,3.7200412076499e-214
"Mmp12",5.36445960150989e-265,1.15611079428511,0.123,0.021,1.18624295168188e-260
"Lgals3",4.50436023370454e-113,1.15101940982571,0.785,0.741,9.96049178479086e-109
"Thbs1",2.91909665084015e-139,1.07032305978477,0.197,0.1,6.45499842400282e-135
"Basp1",1.7282344380104e-109,1.05085494045146,0.607,0.532,3.8216448127724e-105
"Ccl9",4.85242508435408e-209,1.04440572344833,0.214,0.09,1.07301675890322e-204
"Mrc1",7.18941290802638e-207,0.984317086155307,0.139,0.04,1.58979487635187e-202
"Cd36",2.38320313659954e-165,0.977118996181734,0.142,0.05,5.26997709596255e-161
"Cxcl3",9.83309609489084e-197,0.974497777419773,0.104,0.022,2.17439253946321e-192
"Hilpda",0,0.889787975471197,0.812,0.672,0
"Camk1d",0,0.88873815079477,0.936,0.837,0
"Dusp1",1.82237337289121e-147,0.87398643484469,0.773,0.709,4.02981423947433e-143
"Lilr4b",5.91852984668939e-226,0.86526951657637,0.308,0.155,1.30876450499843e-221
"F13a1",1.51892208515794e-99,0.86028475001549,0.171,0.092,3.35879240690976e-95
"Rgs1",9.85677942362012e-120,0.849648081725136,0.202,0.109,2.17962963394512e-115
"Sgms1",3.40598146715867e-110,0.842414987486972,0.659,0.585,7.53164681832797e-106
"Cebpb",4.479001409022e-238,0.823482538263823,0.474,0.295,9.90441581577035e-234
"Nfkbia",3.95275390195405e-58,0.81307287421118,0.749,0.711,8.740724703391e-54
"Cd86",8.79846895671288e-129,0.805613610940291,0.179,0.088,1.94560544039792e-124
"Lars2",0,0.802038883469291,0.944,0.855,0
"Pim1",5.71780918485625e-237,0.790944344136284,0.479,0.297,1.26437914504726e-232
"Gphn",0,0.788624948179657,0.988,0.952,0
"Cmss1",0,0.781280474906146,0.994,0.98,0
"Plac8",1.40299746910651e-109,0.77705925336693,0.167,0.084,3.10244830343522e-105
"Ero1l",0,0.776127456937154,0.968,0.925,0
"Ctss",0,0.767466232446827,0.445,0.22,0
"Mafb",7.95643575717594e-108,0.764432457915682,0.206,0.116,1.75940663898432e-103
"Osbpl8",3.99701997214707e-205,0.753509721300822,0.753,0.674,8.83861026440882e-201
"Dab2",4.40776020119256e-135,0.753426834922037,0.221,0.122,9.74688013289711e-131
"Xist",1.06619724352274e-304,0.75177027279308,0.383,0.184,2.35768196460183e-300
"Cxcl2",6.42708070633217e-51,0.739456704126018,0.555,0.5,1.42122035659123e-46
"Cd53",2.03608114820235e-176,0.733848088749239,0.254,0.132,4.50238624301985e-172
"Col3a1",6.57900088478577e-68,0.732137726753517,0.235,0.158,1.45481446565268e-63
"S100a4",2.62486705026085e-181,0.730237344214999,0.441,0.281,5.80436850824183e-177
"Ifi27l2a",3.29382939401086e-305,0.728622349024479,0.456,0.242,7.28364493897622e-301
"Alcam",4.39007084959525e-25,0.727319012907603,0.633,0.618,9.70776366970998e-21
"Btg1",1.08799191501296e-91,0.725438938494517,0.808,0.789,2.40587652166817e-87
