ID,p,log2FC,pct.1,pct.2,Pvalue
Saa3,4.36E-62,-5.244422248,0.058,0.827,6.97E-58
Fth1,1.43E-35,-1.412398847,1,1,2.29E-31
Acod1,1.12E-28,-1.747604971,0.259,0.755,1.79E-24
Sod2,1.73E-26,-1.277128485,0.381,0.806,2.76E-22
Ccl5,3.12E-24,-2.477586903,0.177,0.626,4.99E-20
Lyz2,2.25E-21,-1.389545538,0.915,0.993,3.59E-17
Lrmda,4.30E-21,-1.025187595,0.782,0.978,6.88E-17
Fcer1g,7.84E-21,-0.661153999,0.997,1,1.25E-16
Gngt2,2.48E-20,-1.115151077,0.395,0.77,3.96E-16
Hp,5.63E-19,-1.243181153,0.112,0.475,9.00E-15
Arg1,1.97E-18,2.130862909,0.52,0.079,3.15E-14
Fpr1,4.82E-18,-0.448706735,0.007,0.259,7.71E-14
Crip1,6.85E-18,1.30862475,0.881,0.698,1.10E-13
Nr1h3,1.15E-17,-0.572390053,0.092,0.446,1.84E-13
Mmp14,2.32E-17,-0.836981853,0.31,0.683,3.70E-13
Acp5,2.34E-17,-0.796225336,0.139,0.504,3.75E-13
Tnfaip2,3.91E-17,-0.768914493,0.224,0.612,6.25E-13
Lst1,4.75E-17,-0.953539256,0.599,0.885,7.60E-13
Tmsb4x,6.16E-17,-0.603911826,1,1,9.85E-13
Eps8,6.44E-17,1.119869695,0.796,0.453,1.03E-12
Fpr2,8.64E-17,-0.481269202,0.02,0.281,1.38E-12
Slpi,1.41E-16,-1.148966008,0.082,0.403,2.25E-12
Clec4d,3.46E-16,-0.777935037,0.265,0.633,5.54E-12
Fyb,7.82E-16,-0.680679953,0.718,0.95,1.25E-11
Aoah,4.60E-15,-0.884208558,0.337,0.662,7.36E-11
Ccl6,5.86E-15,1.363983634,0.85,0.59,9.38E-11
Clec4e,6.77E-15,-1.080731272,0.371,0.683,1.08E-10
Fn1,1.43E-14,1.50682834,0.541,0.165,2.29E-10
H2-DMb1,2.93E-14,0.811659754,0.765,0.453,4.69E-10
Ftl1,2.97E-14,-0.530402406,1,1,4.76E-10
Ccr2,7.98E-14,0.773253704,0.616,0.245,1.28E-09
Srgn,1.58E-13,0.974332325,0.976,0.885,2.52E-09
Gmfg,2.63E-13,-0.666563128,0.541,0.806,4.20E-09
Arl5c,2.78E-13,-0.56553905,0.116,0.41,4.44E-09
Cyba,4.10E-13,-0.545946594,0.969,0.993,6.56E-09
Cfb,6.84E-13,-0.585800972,0.201,0.532,1.09E-08
Irak3,7.64E-13,-0.538581855,0.112,0.403,1.22E-08
Lcn2,8.30E-13,-0.655845987,0,0.165,1.33E-08
H2-Eb1,9.00E-13,0.683207396,0.973,0.885,1.44E-08
Il1b,1.07E-12,-1.207233993,0.374,0.683,1.70E-08
Ms4a7,1.98E-12,-0.986244405,0.255,0.576,3.17E-08
Mrc1,7.60E-12,1.146606972,0.575,0.259,1.22E-07
Adgre1,7.78E-12,-0.645034302,0.282,0.59,1.25E-07
Ctsz,9.82E-12,-0.53248055,0.939,0.993,1.57E-07
Gpr84,1.20E-11,-0.348582694,0.017,0.201,1.92E-07
Lmo4,2.34E-11,-0.646328448,0.279,0.576,3.75E-07
Marcksl1,3.09E-11,-0.556504531,0.289,0.59,4.94E-07
Mgl2,3.95E-11,0.932184616,0.262,0,6.32E-07
Nupr1,5.64E-11,-0.475943793,0.231,0.554,9.03E-07
Ccl24,1.60E-10,1.780748864,0.282,0.022,2.55E-06
Iqgap1,1.99E-10,0.594520114,0.932,0.827,3.18E-06
Prdx5,2.21E-10,-0.81228627,0.878,0.957,3.54E-06
Atp6v0c,2.28E-10,-0.468436789,0.966,0.986,3.64E-06
Trerf1,3.34E-10,0.731247676,0.51,0.201,5.35E-06
Ifitm2,3.44E-10,-0.644526205,0.929,0.978,5.50E-06
Cd74,3.50E-10,0.590833247,0.99,0.986,5.59E-06
Gda,4.03E-10,0.736482652,0.704,0.424,6.45E-06
Abca1,5.24E-10,-0.631095111,0.228,0.511,8.38E-06
Slc31a2,6.59E-10,-0.423299133,0.156,0.417,1.05E-05
Dusp2,8.29E-10,-0.505964538,0.241,0.532,1.33E-05
Igkc,9.67E-10,-0.32099437,0.014,0.165,1.55E-05
H2-Aa,1.03E-09,0.610082302,0.969,0.964,1.65E-05
Itm2b,1.69E-09,-0.743575945,0.847,0.892,2.71E-05
Pou2f2,1.77E-09,-0.522391295,0.153,0.403,2.83E-05
Sgms1,1.83E-09,0.737796562,0.755,0.525,2.93E-05
Arhgap15,2.17E-09,0.736000135,0.663,0.396,3.48E-05
Blvrb,2.59E-09,-0.60174114,0.425,0.669,4.15E-05
H2-DMa,2.87E-09,0.645703655,0.738,0.59,4.58E-05
Ninj1,3.11E-09,-0.550758006,0.524,0.755,4.98E-05
Pla2g7,4.44E-09,-0.58643913,0.483,0.734,7.11E-05
H2-Ab1,4.97E-09,0.541531825,0.98,0.95,7.95E-05
Picalm,5.16E-09,0.60709492,0.864,0.705,8.26E-05
Ccrl2,6.59E-09,-0.577266885,0.374,0.64,0.000105453
Rras,8.35E-09,-0.324002423,0.143,0.388,0.000133554
Gm42418,8.39E-09,0.297491321,1,1,0.000134298
Wfdc17,9.35E-09,-0.649015032,0.745,0.878,0.000149536
Traf1,1.04E-08,-0.613986624,0.289,0.554,0.000165843
Mtss1,1.49E-08,0.57618107,0.405,0.137,0.000237823
Prxl2b,1.68E-08,-0.433453566,0.146,0.374,0.000269225
Fcgr2b,1.94E-08,0.527348468,0.663,0.396,0.000309721
Fbxw11,1.99E-08,0.548996241,0.748,0.496,0.000318442
Arg2,2.54E-08,-0.400990547,0.129,0.353,0.000406282
Xylt1,3.74E-08,0.723382851,0.503,0.245,0.000597884
Adora2a,4.03E-08,-0.280340298,0.054,0.23,0.000644293
Ccl2,4.03E-08,0.957857226,0.588,0.331,0.000645276
Gm2a,4.21E-08,0.641889225,0.776,0.619,0.000673081
Bcar3,5.02E-08,0.358236244,0.228,0.022,0.00080288
Mbnl1,5.79E-08,0.560129554,0.728,0.504,0.000925554
Sema4d,5.95E-08,-0.421221818,0.293,0.561,0.000951271
Ebi3,6.24E-08,-0.260766301,0.071,0.259,0.000997675
Cd38,7.38E-08,-0.453774683,0.17,0.396,0.001180557
Lpp,7.79E-08,0.568738929,0.752,0.547,0.001246086
Lgals3,8.07E-08,0.716820475,0.99,0.986,0.001290727
