"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Saa3",0,-1.00124212118782,0.104,0.628,0
"Igkc",0,-0.8498658486041,0.065,0.406,0
"Hspb1",1.12257846335685e-87,-0.482249439940445,0.46,0.594,2.48235775602101e-83
"Nupr1",2.93476268814785e-69,-0.46130427671773,0.438,0.53,6.48964073230134e-65
"Bc1",2.76860821405651e-109,-0.406299509817181,0.877,0.927,6.12222334374316e-105
"mt-Nd1",0,-0.364936997575423,1,1,0
"Arhgdib",0,-0.36039496294302,1,1,0
"Dnaja1",3.17869287908294e-224,-0.338799480754703,0.999,0.999,7.0290435635161e-220
"Coq8a",3.34629521359628e-106,-0.322896830017314,0.586,0.699,7.39966260582545e-102
"Tuba1c",6.01147061206003e-92,-0.316216451169042,0.933,0.959,1.32931649644483e-87
"Chac1",3.37471093046114e-120,-0.314270928385453,0.194,0.333,7.46249828052872e-116
"Nusap1",5.31968896545097e-43,-0.309380552538058,0.338,0.426,1.17634282093017e-38
"Crip1",1.85559597300816e-137,-0.30499388885841,0.849,0.912,4.10327937511296e-133
"Hspa8",1.96613284306879e-269,-0.301443286415047,1,1,4.34770955587802e-265
"Aebp1",8.11891215170363e-297,-0.299199664793766,0.997,1,1.79533504410622e-292
"Hsph1",2.07163550263786e-87,-0.296562748596298,0.856,0.909,4.58100758698309e-83
"Rpl41",0,-0.294248347566977,1,1,0
"Nmt1",2.57532365369069e-254,-0.285819140154835,0.99,0.996,5.69481319540622e-250
"Bfsp2",4.71520480550806e-112,-0.283927102583335,0.696,0.814,1.042673238642e-107
"Ptms",2.15692431857847e-188,-0.281603476680983,0.998,0.999,4.76960674567258e-184
"Ccl5",4.07612616056528e-44,-0.278613978834797,0.086,0.151,9.01353777885801e-40
"Id2",3.59592810231485e-80,-0.27801070755164,0.912,0.948,7.95167581264884e-76
"mt-Co3",0,-0.277983403789753,1,1,0
"Dpp7",1.24080283987499e-111,-0.2767230911699,0.596,0.717,2.74378731981558e-107
"mt-Nd3",2.2799430431026e-197,-0.275772315565596,0.984,0.994,5.04163805121279e-193
"Atp5j2",0,-0.269977692102111,1,1,0
"Lcn2",2.10166064651884e-284,-0.265578629372998,0.008,0.151,4.64740218764711e-280
"Top2a",7.21808923331752e-52,-0.264549465880246,0.703,0.789,1.5961360721635e-47
"Tubb4b",6.5477504686677e-54,-0.263985373570262,0.97,0.985,1.44790406113649e-49
"Gsta2",8.79885255407807e-96,-0.263577224412987,0.877,0.929,1.94569026528328e-91
"Cenpf",1.81272867864248e-47,-0.262933532024077,0.484,0.586,4.00848692708211e-43
"Birc5",4.87777350704866e-54,-0.26214001572964,0.634,0.737,1.07862205561367e-49
"Cyba",4.01231325511355e-128,-0.261248126094582,0.935,0.969,8.87242830103259e-124
"mt-Atp6",1.13960435050558e-297,-0.258691623411405,1,1,2.52000710027299e-293
"Atox1",3.0954635613618e-258,-0.255459433502094,0.999,1,6.84499857323934e-254
"Uqcc2",1.74428979372685e-245,-0.251986995357765,0.996,0.999,3.85714802086819e-241
"Uap1l1",1.21291135664439e-153,-0.251981725666267,0.965,0.985,2.68211088294774e-149
"Spc25",6.56238502259982e-46,-0.251231846453155,0.393,0.485,1.4511402000475e-41
"Kctd16",9.41718035816884e-33,0.251511573963274,0.231,0.169,2.08242109260188e-28
"Prelid2",4.05087961099215e-85,0.2537566499756,0.929,0.902,8.95771008378693e-81
"Ccn1",1.26896983501215e-44,0.253958391316853,0.631,0.561,2.80607299616237e-40
"Gtf2e2",2.58797339773446e-98,0.254891396096522,0.86,0.795,5.7227855744102e-94
"Pfkl",1.5274976353891e-117,0.254990501028312,0.964,0.944,3.37775552113591e-113
"Arhgap5",3.68405492854436e-102,0.25706799189151,0.92,0.869,8.14655066349015e-98
"Klf6",2.51195694921484e-68,0.257534163460733,0.956,0.938,5.55469040179878e-64
"Rassf1",2.18384388755831e-73,0.257558598830716,0.799,0.735,4.82913398855769e-69
"Mrs2",9.94846189438593e-103,0.258762001446613,0.851,0.784,2.19990337870556e-98
"Hnrnpa0",1.39544195807198e-226,0.260288369915009,0.999,0.997,3.08574080188457e-222
"Kif21b",1.97700246770884e-51,0.260411037278071,0.693,0.631,4.37174555684455e-47
"Ccl6",5.6511654422693e-233,0.262398138728094,0.183,0.043,1.24964221424901e-228
