ID,Pvalue,log2FC,pct.1,pct.2,p_val_adj,threshold
Arg1,1.97E-18,2.130862909,0.52,0.079,3.15E-14,down
Ccl24,1.60E-10,1.780748864,0.282,0.022,2.55E-06,down
Fn1,1.43E-14,1.50682834,0.541,0.165,2.29E-10,down
Ccl6,5.86E-15,1.363983634,0.85,0.59,9.38E-11,down
Crip1,6.85E-18,1.30862475,0.881,0.698,1.10E-13,down
Mrc1,7.60E-12,1.146606972,0.575,0.259,1.22E-07,down
Eps8,6.44E-17,1.119869695,0.796,0.453,1.03E-12,down
Ccl7,6.91E-07,0.977696956,0.439,0.194,0.01106092,down
Srgn,1.58E-13,0.974332325,0.976,0.885,2.52E-09,down
Ccl2,4.03E-08,0.957857226,0.588,0.331,0.000645276,down
Mgl2,3.95E-11,0.932184616,0.262,0,6.32E-07,down
H2-DMb1,2.93E-14,0.811659754,0.765,0.453,4.69E-10,down
Ccr2,7.98E-14,0.773253704,0.616,0.245,1.28E-09,down
Ear2,2.55E-07,0.772979286,0.184,0.007,0.00408251,down
Sgms1,1.83E-09,0.737796562,0.755,0.525,2.93E-05,down
Gda,4.03E-10,0.736482652,0.704,0.424,6.45E-06,down
Arhgap15,2.17E-09,0.736000135,0.663,0.396,3.48E-05,down
Trerf1,3.34E-10,0.731247676,0.51,0.201,5.35E-06,down
Xylt1,3.74E-08,0.723382851,0.503,0.245,0.000597884,down
Lgals3,8.07E-08,0.716820475,0.99,0.986,0.001290727,down
Ccl9,1.31E-06,0.69968874,0.721,0.54,0.020973265,down
Atf3,4.11E-07,0.687886157,0.932,0.899,0.006571539,down
H2-Eb1,9.00E-13,0.683207396,0.973,0.885,1.44E-08,down
Plac8,0.001713999,0.67259633,0.619,0.547,1,down
Cd36,7.56E-05,0.669749129,0.265,0.101,1,down
AA467197,7.10E-05,0.664951539,0.333,0.151,1,down
H2-DMa,2.87E-09,0.645703655,0.738,0.59,4.58E-05,down
Gm2a,4.21E-08,0.641889225,0.776,0.619,0.000673081,down
Pfkp,3.77E-06,0.630664415,0.595,0.432,0.060341094,down
Plcb1,4.95E-05,0.629524962,0.327,0.151,0.792110406,down
Dab2,1.06E-06,0.628059815,0.561,0.338,0.017026556,down
H2-Aa,1.03E-09,0.610082302,0.969,0.964,1.65E-05,down
Picalm,5.16E-09,0.60709492,0.864,0.705,8.26E-05,down
Iqgap1,1.99E-10,0.594520114,0.932,0.827,3.18E-06,down
Cd74,3.50E-10,0.590833247,0.99,0.986,5.59E-06,down
Creb5,1.81E-06,0.58942097,0.663,0.453,0.029020661,down
Ctsc,8.40E-07,0.581852126,0.844,0.698,0.013433377,down
Mtss1,1.49E-08,0.57618107,0.405,0.137,0.000237823,down
Lpp,7.79E-08,0.568738929,0.752,0.547,0.001246086,down
Foxn3,2.30E-06,0.56806284,0.707,0.511,0.036768398,down
Lpl,7.98E-05,0.566627766,0.276,0.108,1,down
Spon1,9.48E-07,0.56200756,0.276,0.072,0.015165043,down
Mbnl1,5.79E-08,0.560129554,0.728,0.504,0.000925554,down
Tmx4,0.012782592,0.55607016,0.252,0.158,1,down
Fbxw11,1.99E-08,0.548996241,0.748,0.496,0.000318442,down
Jmjd1c,1.37E-05,0.544420319,0.718,0.525,0.218986421,down
Alcam,1.63E-05,0.54207458,0.67,0.468,0.26007504,down
H2-Ab1,4.97E-09,0.541531825,0.98,0.95,7.95E-05,down
Ccl12,0.005351019,0.531031288,0.187,0.086,1,down
Tiparp,3.45E-07,0.529510637,0.697,0.432,0.005525992,down
Saa3,0,-1.001242121,0.104,0.628,0,up
Igkc,0,-0.849865849,0.065,0.406,0,up
Hspb1,1.12E-87,-0.48224944,0.46,0.594,2.48E-83,up
Nupr1,2.93E-69,-0.461304277,0.438,0.53,6.49E-65,up
Bc1,2.77E-109,-0.40629951,0.877,0.927,6.12E-105,up
mt-Nd1,0,-0.364936998,1,1,0,up
Arhgdib,0,-0.360394963,1,1,0,up
Dnaja1,3.18E-224,-0.338799481,0.999,0.999,7.03E-220,up
Coq8a,3.35E-106,-0.32289683,0.586,0.699,7.40E-102,up
Tuba1c,6.01E-92,-0.316216451,0.933,0.959,1.33E-87,up
Chac1,3.37E-120,-0.314270928,0.194,0.333,7.46E-116,up
Nusap1,5.32E-43,-0.309380553,0.338,0.426,1.18E-38,up
Crip1,1.86E-137,-0.304993889,0.849,0.912,4.10E-133,up
Hspa8,1.97E-269,-0.301443286,1,1,4.35E-265,up
Aebp1,8.12E-297,-0.299199665,0.997,1,1.80E-292,up
Hsph1,2.07E-87,-0.296562749,0.856,0.909,4.58E-83,up
Rpl41,0,-0.294248348,1,1,0,up
Nmt1,2.58E-254,-0.28581914,0.99,0.996,5.69E-250,up
Bfsp2,4.72E-112,-0.283927103,0.696,0.814,1.04E-107,up
Ptms,2.16E-188,-0.281603477,0.998,0.999,4.77E-184,up
Ccl5,4.08E-44,-0.278613979,0.086,0.151,9.01E-40,up
Id2,3.60E-80,-0.278010708,0.912,0.948,7.95E-76,up
mt-Co3,0,-0.277983404,1,1,0,up
Dpp7,1.24E-111,-0.276723091,0.596,0.717,2.74E-107,up
mt-Nd3,2.28E-197,-0.275772316,0.984,0.994,5.04E-193,up
Atp5j2,0,-0.269977692,1,1,0,up
Lcn2,2.10E-284,-0.265578629,0.008,0.151,4.65E-280,up
Top2a,7.22E-52,-0.264549466,0.703,0.789,1.60E-47,up
Tubb4b,6.55E-54,-0.263985374,0.97,0.985,1.45E-49,up
Gsta2,8.80E-96,-0.263577224,0.877,0.929,1.95E-91,up
Cenpf,1.81E-47,-0.262933532,0.484,0.586,4.01E-43,up
Birc5,4.88E-54,-0.262140016,0.634,0.737,1.08E-49,up
Cyba,4.01E-128,-0.261248126,0.935,0.969,8.87E-124,up
mt-Atp6,1.14E-297,-0.258691623,1,1,2.52E-293,up
Atox1,3.10E-258,-0.255459434,0.999,1,6.84E-254,up
Uqcc2,1.74E-245,-0.251986995,0.996,0.999,3.86E-241,up
Uap1l1,1.21E-153,-0.251981726,0.965,0.985,2.68E-149,up
Spc25,6.56E-46,-0.251231846,0.393,0.485,1.45E-41,up
Kctd16,9.42E-33,0.251511574,0.231,0.169,2.08E-28,up
Prelid2,4.05E-85,0.25375665,0.929,0.902,8.96E-81,up
Ccn1,1.27E-44,0.253958391,0.631,0.561,2.81E-40,up
Gtf2e2,2.59E-98,0.254891396,0.86,0.795,5.72E-94,up
Pfkl,1.53E-117,0.254990501,0.964,0.944,3.38E-113,up
Arhgap5,3.68E-102,0.257067992,0.92,0.869,8.15E-98,up
Klf6,2.51E-68,0.257534163,0.956,0.938,5.55E-64,up
Rassf1,2.18E-73,0.257558599,0.799,0.735,4.83E-69,up
Mrs2,9.95E-103,0.258762001,0.851,0.784,2.20E-98,up
Hnrnpa0,1.40E-226,0.26028837,0.999,0.997,3.09E-222,up
Kif21b,1.98E-51,0.260411037,0.693,0.631,4.37E-47,up
Ccl6,5.65E-233,0.262398139,0.183,0.043,1.25E-228,up
