"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Saa3",4.35877813684547e-62,-5.24442224838841,0.058,0.827,6.97360914113906e-58
"Ccl5",3.11777656990228e-24,-2.47758690260008,0.177,0.626,4.98813073418665e-20
"Acod1",1.11906953393664e-28,-1.74760497062063,0.259,0.755,1.79039934734523e-24
"Fth1",1.43228351276424e-35,-1.41239884723965,1,1,2.2915103920715e-31
"Lyz2",2.24563265251014e-21,-1.38954553849405,0.915,0.993,3.59278768075097e-17
"Sod2",1.72599032471607e-26,-1.27712848491636,0.381,0.806,2.76141192051324e-22
"Hp",5.62539444098739e-19,-1.24318115299302,0.112,0.475,9.00006856613573e-15
"Il1b",1.0651807926303e-12,-1.20723399326404,0.374,0.683,1.70418275012921e-08
"Slpi",1.40610854932655e-16,-1.14896600786531,0.082,0.403,2.24963306806756e-12
"Gngt2",2.47693495660772e-20,-1.11515107662627,0.395,0.77,3.96284823707668e-16
"Clec4e",6.77179702744221e-15,-1.08073127211286,0.371,0.683,1.08341980642048e-10
"Lrmda",4.30092671643839e-21,-1.02518759537664,0.782,0.978,6.88105265362978e-17
"Ms4a7",1.98059451982539e-12,-0.986244405257567,0.255,0.576,3.16875317226864e-08
"Apoe",0.00013957537900306,-0.975136247617444,0.84,0.892,1
"Lst1",4.75303112803868e-17,-0.953539255659077,0.599,0.885,7.60437450174909e-13
"Fabp5",2.1401657581021e-06,-0.913360330313988,0.684,0.835,0.0342405119638755
"Aoah",4.60253903652222e-15,-0.88420855845756,0.337,0.662,7.3636022045319e-11
"Mmp14",2.31571264028751e-17,-0.836981853222455,0.31,0.683,3.70490865319599e-13
"Prdx5",2.21391843679164e-10,-0.812286270445702,0.878,0.957,3.54204810702294e-06
"Acp5",2.34177861593478e-17,-0.796225335976239,0.139,0.504,3.74661160763405e-13
"Cxcl2",1.23614476262715e-05,-0.780618238568975,0.772,0.871,0.197770800572718
"Clec4d",3.46308197889068e-16,-0.777935037403691,0.265,0.633,5.54058485802721e-12
"Tnfaip2",3.9092560940012e-17,-0.768914493192784,0.224,0.612,6.25441882479252e-13
"Itm2b",1.69127284207028e-09,-0.743575944922726,0.847,0.892,2.70586742002824e-05
"Ccl3",3.16608757594314e-07,-0.723026947899965,0.554,0.719,0.00506542351275143
"Fyb",7.8160092018496e-16,-0.680679952757859,0.718,0.95,1.25048331220392e-11
"Gmfg",2.62773025107181e-13,-0.666563128112437,0.541,0.806,4.20410562868979e-09
"Fcer1g",7.8394119085818e-21,-0.661153998873537,0.997,1,1.254227511254e-16
"Lcn2",8.3036454581529e-13,-0.655845986877666,0,0.165,1.32850023684988e-08
"Wfdc17",9.34656169733318e-09,-0.649015031687383,0.745,0.878,0.000149535640595634
"Lmo4",2.34193088286291e-11,-0.646328447967082,0.279,0.576,3.74685521949236e-07
"Adgre1",7.78317417984708e-12,-0.64503430226792,0.282,0.59,1.24523003703373e-07
"Ifitm2",3.4398767248558e-10,-0.644526205333097,0.929,0.978,5.5034587720968e-06
"Abca1",5.23661411026452e-10,-0.631095111310046,0.228,0.511,8.37805891501221e-06
"Traf1",1.03658659963571e-08,-0.613986624373714,0.289,0.554,0.000165843490075718
"Tmsb4x",6.15595469083541e-17,-0.603911826399835,1,1,9.84891190986758e-13
"Blvrb",2.5915011127394e-09,-0.601741140044798,0.425,0.669,4.14614263027177e-05
"Pla2g7",4.44205980264519e-09,-0.586439130331765,0.483,0.734,7.10685147825205e-05
"Cfb",6.8441399673302e-13,-0.585800972254173,0.201,0.532,1.09499395337316e-08
"Ccrl2",6.59120859285996e-09,-0.577266885412894,0.374,0.64,0.000105452746277166
"Aif1",3.76169199958024e-05,-0.573696027398545,0.707,0.835,0.601833103012843
"Nr1h3",1.15119653875866e-17,-0.572390052994613,0.092,0.446,1.84179934235998e-13
"Arl5c",2.77762132805587e-13,-0.565539049695875,0.116,0.41,4.44391636275658e-09
"Ptgs2",8.37434301499019e-08,-0.561967261068503,0.187,0.417,0.00133981113896828
"Marcksl1",3.08560091199882e-11,-0.556504530678492,0.289,0.59,4.93665289910692e-07
"Ninj1",3.11140829391518e-09,-0.550758005989353,0.524,0.755,4.97794212943489e-05
"Cyba",4.09940100618317e-13,-0.545946593707437,0.969,0.993,6.55863166979246e-09
"Nfe2l2",1.03191530206476e-05,-0.542179236348659,0.684,0.842,0.16509612917734
"Irak3",7.63696362724685e-13,-0.538581854930674,0.112,0.403,1.22183781072322e-08
"Ctsz",9.81887318711693e-12,-0.532480549748222,0.939,0.993,1.57092152120684e-07
