"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Saa3",0,-3.99527539878794,0.02,0.992,0
"Lcn2",8.45641174208264e-277,-3.39463045392295,0.309,0.932,1.86996632852673e-272
"Wfdc21",2.2018931002662e-240,-3.09030402485585,0.185,0.785,4.86904621261865e-236
"Lyz2",8.26083400212218e-102,-1.89203558488736,0.993,0.992,1.82671822288928e-97
"Csf3",4.40385969462321e-52,-1.55151938745004,0.002,0.181,9.7382549427203e-48
"Stap1",7.43592808440115e-68,-1.41923151863097,0.053,0.32,1.64430677730363e-63
"Pou2f2",1.18562945405461e-78,-1.40533378369235,0.059,0.363,2.62178241175096e-74
"Aoah",1.90426600118252e-72,-1.40359370055634,0.066,0.355,4.21090340841491e-68
"Lst1",1.1998695342177e-131,-1.36793285349781,0.382,0.861,2.65327150101559e-127
"Fyb",6.15744065265875e-124,-1.32744660029194,0.899,0.989,1.36159485152243e-119
"Slco3a1",1.54636992480015e-65,-1.32500371731177,0.091,0.371,3.41948781471058e-61
"Adora2a",1.18405956812541e-56,-1.23001381986528,0.015,0.223,2.61831092299573e-52
"Rac2",1.41373101638346e-79,-1.17671927348931,0.292,0.62,3.12618339652874e-75
"Pglyrp1",2.32130123420395e-53,-1.16534087915993,0.225,0.503,5.13309341919519e-49
"Ly6i",2.24379344818036e-36,-1.1373529494053,0.043,0.208,4.96170045196123e-32
"Clec4a3",2.0946388106978e-50,-1.12650908910693,0.016,0.206,4.63187480209604e-46
"Clec4a1",4.68832905343469e-55,-1.08064114534097,0.011,0.21,1.03673020358601e-50
"Fcer1g",2.44866094239644e-95,-1.05738301606628,1,0.997,5.41472394192125e-91
"Ikbke",4.61064965681589e-47,-1.04256819602066,0.07,0.286,1.0195529586117e-42
"Ntng2",4.93817635852596e-40,-1.03456598561393,0.078,0.275,1.09197893816084e-35
"Id3",2.10854185565551e-38,-1.03291352921178,0.012,0.158,4.66261860541103e-34
"Chil1",3.82533464090318e-37,-1.01809472975834,0.104,0.3,8.4589624914292e-33
"Ebi3",1.1227645241309e-48,-1.01594526192044,0.073,0.3,2.48276919221065e-44
"Dusp2",4.47119276202955e-57,-0.977530903076087,0.922,0.984,9.88714855467595e-53
"Irak3",8.41227717668201e-47,-0.958893128467826,0.281,0.528,1.86020685207969e-42
"Plk1",0,-0.926181006100399,0.012,0.912,0
"Cln6",0,-0.911616271313407,0.015,0.937,0
"Cdc20",0,-0.907946456829962,0.014,0.908,0
"Cenps",0,-0.907893429737261,0.023,0.931,0
"Gcat",0,-0.892854579471519,0.04,0.957,0
"Gm16062",0,-0.888441195831647,0.021,0.907,0
"Sod2",8.05000367591625e-65,-0.884291277569073,1,0.998,1.78009731285536e-60
"Knl1",0,-0.883195081134754,0.013,0.897,0
"Traf1",6.74921058324735e-33,-0.873310611594376,0.274,0.487,1.49245293627349e-28
"Ccdc167",0,-0.866898897371566,0.049,0.939,0
"Nacc2",0,-0.864868430747089,0.073,0.946,0
"Slc11a2",0,-0.863390730302332,0.098,0.952,0
"Rad51ap1",0,-0.850485077439332,0.055,0.927,0
"Slc25a10",0,-0.85008059717301,0.049,0.91,0
"Prkcb",7.19648803069554e-22,-0.832682524713541,0.221,0.375,1.5913593982277e-17
"Gm29904",0,-0.819233022059874,0.025,0.778,0
"Cenpm",0,-0.819090559009756,0.11,0.95,0
"Cttnbp2",0,-0.818807642726883,0.099,0.942,0
"Lmo4",1.35079513426977e-222,-0.816531731175772,0.995,0.996,2.98701328041074e-218
"Nfkb1",4.3834749178566e-36,-0.81454659802829,0.991,0.993,9.6931780858563e-32
"Mmp8",7.91369715288836e-21,-0.810773180712457,0.128,0.27,1.7499558514182e-16
"Pck2",0,-0.808452181195151,0.01,0.75,0
"Aaas",0,-0.807574769817995,0.117,0.932,0
"Kif11",0,-0.805034540406635,0.023,0.801,0
"Pwwp3a",2.19367046090526e-290,-0.79664198179432,0.021,0.72,4.8508634901998e-286
