"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cxcl3",9.30413259404044e-129,2.31884271111745,0.528,0.12,2.05742284052016e-124
"Ccl6",0,2.22215678443843,0.996,0.149,0
"Spp1",1.14753322765289e-282,1.70698441908819,0.991,0.163,2.53754022630884e-278
"G0s2",1.95182290214543e-76,1.7001938607019,0.526,0.206,4.31606598351418e-72
"Csf1",1.29676791316588e-89,1.66949944827329,0.575,0.235,2.86754288638372e-85
"Sgms2",2.29628799029188e-103,1.65342924738473,0.764,0.465,5.07778163293243e-99
"Thbs1",4.19936679064238e-52,1.54886331958003,0.335,0.11,9.2860597841475e-48
"Alcam",1.22427712786621e-109,1.4727635885942,0.998,0.991,2.70724401285056e-105
"Chst11",3.45829822286462e-87,1.46747209104816,0.477,0.147,7.64733486022052e-83
"Igf1r",6.39334627980341e-147,1.46592829826631,0.991,0.38,1.41376066285293e-142
"Il1rap",1.39999604346698e-73,1.45591667525039,0.459,0.158,3.09581125091854e-69
"Dach1",7.18193565459957e-41,1.4341591491512,0.264,0.084,1.5881414313016e-36
"Basp1",1.51533038390839e-140,1.41719632939732,0.999,0.992,3.35085007793662e-136
"Msra",8.30661966960617e-83,1.41278382618539,0.63,0.311,1.83684280754001e-78
"Inhba",1.4337237905481e-30,1.35069861805519,0.201,0.06,3.17039341803901e-26
"Ccr1",5.50034650141659e-105,1.34798382578429,0.639,0.255,1.21629162185825e-100
"Retnlg",3.78611397151787e-41,1.3414224659131,0.363,0.151,8.37223382521747e-37
"Noct",0,1.33992707009095,0.961,0.124,0
"Hilpda",7.36411044657643e-136,1.32343750019106,1,0.993,1.62842574305145e-131
"Slfn4",2.40384980114829e-50,1.31941687573131,0.463,0.216,5.31563306527921e-46
"Cebpb",1.10128404379296e-149,1.31199872825802,0.998,0.544,2.43526940603937e-145
"Lyst",1.33024411794167e-114,1.29074336568858,1,0.996,2.94156881800441e-110
"Osbpl8",1.34207920701501e-171,1.28690373111921,1,0.989,2.9677397504723e-167
"Srgn",1.16954367119819e-147,1.26436313365449,1,1,2.58621192012056e-143
"E230032D23Rik",5.84540749192179e-67,1.26205849189415,0.454,0.162,1.29259495868866e-62
"Rps6ka2",8.90874698385088e-49,1.25139876404856,0.337,0.116,1.96999122053894e-44
"Gab2",2.19220347978842e-131,1.24676350649693,0.998,0.989,4.84761955485613e-127
"Pim1",1.56065004398996e-123,1.24449160582567,1,0.604,3.451065442275e-119
"Gm42418",2.09302438459043e-303,1.21596865195586,1,1,4.62830482164482e-299
"Xylt1",1.88001136100636e-117,1.21345077075008,0.975,0.469,4.15726912259337e-113
"Cd53",1.02755568465879e-86,1.2128992414603,0.705,0.408,2.27223388548599e-82
"Ankrd33b",1.32724229682659e-84,1.20844447422853,0.968,0.89,2.93493089097264e-80
"Nedd9",1.05635279771632e-47,1.198895519024,0.456,0.223,2.3359129415901e-43
"Cyp4f18",1.04040306411265e-38,1.19826039561805,0.42,0.21,2.30064329567231e-34
"Il1r2",9.07214926695183e-51,1.18319761305592,0.708,0.512,2.00612436740106e-46
"Lilr4b",2.89050519341714e-109,1.16821773894683,0.898,0.478,6.39177413420331e-105
"Rgcc",1.15793558753631e-219,1.15754331956564,0.968,0.224,2.56054296471904e-215
"Cd9",2.68844432468847e-111,1.15202248146089,1,0.997,5.94495693518362e-107
"Rnf149",1.22129415569248e-101,1.13839670232128,0.997,0.68,2.70064776648279e-97
"Entpd1",1.23413846803847e-46,1.12128326390906,0.437,0.2,2.72905039437346e-42
"Ifrd1",3.54385055091987e-100,1.12065531369479,1,0.999,7.83651672324911e-96
"Tnfrsf23",1.23773279287187e-60,1.1205744844454,0.485,0.196,2.73699852487756e-56
"Plin2",4.73595198290093e-118,1.11915564992101,0.999,0.997,1.04726106197888e-113
"Cass4",1.11316537152988e-46,1.11700677585837,0.377,0.148,2.46154258606403e-42
"Smox",9.93262821685498e-70,1.1142921640207,0.663,0.381,2.19640207759314e-65
"Il15",1.46262590947035e-45,1.10123279613513,0.269,0.074,3.23430467361178e-41
"Plaur",1.41439282603134e-42,1.09904362203152,0.414,0.193,3.1276468562031e-38
"Mirt1",1.26173711484927e-54,1.09765589623991,0.585,0.327,2.7900792820662e-50
"Mirt2",2.90281102298313e-55,1.09670037952365,0.436,0.171,6.4189860151226e-51
"Hdc",1.08121578997365e-42,1.09390536378179,0.604,0.395,2.39089247636874e-38
