"","C_p_val","C_avg_log2FC","C_pct.1","C_pct.2","C_p_val_adj","T_p_val","T_avg_log2FC","T_pct.1","T_pct.2","T_p_val_adj","max_pval","minimump_p_val"
"Rpl7",0,-0.683934832820128,1,1,0,0,-0.603739903971528,1,1,0,0,0
"Dst",0,-0.870082833387334,0.997,0.994,0,5.69269426169981e-95,-0.411239247600837,1,0.994,1.25882548208968e-90,5.69269426169981e-95,0
"Ptpn18",0,1.07167701623157,0.962,0.612,0,1.18629705597584e-253,1.13743565870709,0.978,0.705,2.62325867987938e-249,1.18629705597584e-253,0
"Cox5b",0,-0.784328806803066,1,1,0,0,-0.641620332272019,1,1,0,0,0
"Rpl31",0,-0.54947198039094,1,1,0,1.97700241772277e-260,-0.426962236956299,1,1,4.37174544631036e-256,1.97700241772277e-260,0
"Hspd1",0,-1.12840346879148,1,1,0,0,-0.934379562604272,1,1,0,0,0
"Hspe1",0,-0.979040548948063,1,1,0,0,-0.855762050717785,1,1,0,0,0
"Eef1b2",0,-0.885248314339112,1,1,0,0,-0.691952603401652,1,1,0,0,0
"Pnkd",0,-0.583078720953243,0.997,0.99,0,6.98979826440486e-213,-0.510099554626667,0.999,0.994,1.54565409020785e-208,6.98979826440486e-213,0
"Slc11a1",0,0.782566364996412,0.26,0.03,0,0,1.09746748605116,0.379,0.034,0,0,0
"Pax3",0,-1.03814243928961,0.998,0.987,0,0,-0.856285035653959,0.998,0.994,0,0,0
"Dock10",0,1.76591279370345,0.986,0.516,0,0,1.2410448863851,0.941,0.515,0,0,0
"Pid1",0,3.24308696070252,0.768,0.074,0,0,3.86644005176999,0.866,0.079,0,0,0
"Inpp5d",0,1.02734099717408,0.463,0.107,0,0,1.25453834609643,0.444,0.063,0,0,0
"Arl4c",0,1.11311926198876,0.373,0.062,0,3.65485284229921e-301,0.725999350556406,0.237,0.026,8.08197609017623e-297,3.65485284229921e-301,0
"Mlph",0,-0.766854023960418,0.993,0.969,0,2.9463256870108e-243,-0.658865927547298,0.998,0.984,6.51520999168699e-239,2.9463256870108e-243,0
"Ndufa10",0,-0.544520474608946,0.999,0.997,0,2.95801093184261e-215,-0.50450450775648,1,0.999,6.54104957358357e-211,2.95801093184261e-215,0
"Tnfrsf11a",0,0.855829705370195,0.233,0.015,0,0,0.817699997834875,0.228,0.009,0,0,0
"Tmem37",0,0.832075420671568,0.224,0.011,0,0,0.879330811942697,0.249,0.009,0,0,0
"Dbi",0,-0.963063384351277,1,1,0,0,-0.879712377662317,1,1,0,0,0
"Rab7b",0,1.62871507937804,0.501,0.042,0,0,1.4430060403201,0.46,0.027,0,0,0
"Nucks1",0,-0.895302007771619,1,0.998,0,9.32018704536677e-255,-0.797738869614113,0.999,0.999,2.06097296134195e-250,9.32018704536677e-255,0
"Snrpe",0,-0.547519748845129,1,0.999,0,1.92463324935007e-212,-0.500775274514842,1,1,4.25594150428781e-208,1.92463324935007e-212,0
"Btg2",0,1.03049598836088,0.775,0.399,0,5.7032849511733e-100,0.79220163028293,0.503,0.291,1.26116740125295e-95,5.7032849511733e-100,0
"Timm17a",0,-0.604884148593186,0.997,0.993,0,2.72170050931469e-187,-0.500072542896191,0.999,0.992,6.01849633624759e-183,2.72170050931469e-187,0
"Csrp1",0,-0.970226822493018,1,0.999,0,0,-0.719292117177179,1,0.999,0,0,0
"Ptprc",0,1.67280217253009,0.728,0.146,0,0,1.61268731144872,0.663,0.11,0,0,0
"Rgs2",0,1.99670255608865,0.624,0.213,0,0,1.72229271980166,0.556,0.187,0,0,0
"Rgs1",0,2.86641160397721,0.686,0.099,0,0,2.56547901786307,0.629,0.053,0,0,0
"Rgl1",0,1.71033091345895,0.982,0.647,0,0,1.61185047016107,0.946,0.601,0,0,0
"Ier5",0,1.52418428452714,0.811,0.366,0,1.10878450920997e-162,1.00451979066478,0.538,0.269,2.451855185216e-158,1.10878450920997e-162,0
"Mpzl1",0,-0.871548486771458,0.998,0.992,0,1.39297496686428e-300,-0.677274005235486,0.998,0.994,3.08028554422699e-296,1.39297496686428e-300,0
"Fcgr2b",0,1.94468562820037,0.597,0.067,0,0,1.12157414607345,0.356,0.038,0,0,0
"Fcgr4",0,1.32020027021958,0.405,0.051,0,0,1.23108584586211,0.423,0.053,0,0,0
"Fcgr3",0,1.93974913575947,0.642,0.085,0,0,1.49437735600499,0.51,0.053,0,0,0
"Fcer1g",0,3.09469224766384,1,0.4,0,0,2.78120724233752,0.997,0.422,0,0,0
"Ndufs2",0,-0.677031636895363,0.999,0.997,0,6.59170259282674e-293,-0.590745388374759,0.999,0.999,1.45762319435178e-288,6.59170259282674e-293,0
"Slamf7",0,1.85241534389362,0.511,0.047,0,0,2.06309083660934,0.566,0.028,0,0,0
"Cd48",0,0.679427096537835,0.218,0.025,0,0,0.74988114270466,0.233,0.016,0,0,0
"Cd84",0,1.81591065855508,0.634,0.081,0,0,1.63109311634827,0.54,0.043,0,0,0
"Tagln2",0,1.21972903443965,0.966,0.439,0,0,1.27062729788836,0.799,0.411,0,0,0
"Aim2",0,0.870488221806962,0.319,0.062,0,4.70309802533388e-174,0.5980305498403,0.248,0.05,1.03999606634208e-169,4.70309802533388e-174,0
"Ifi209",0,1.25047396843627,0.34,0.036,0,0,0.787486482033204,0.218,0.016,0,0,0
"Ifi207",0,2.58431606288832,0.828,0.115,0,0,2.21683188001903,0.727,0.081,0,0,0
"Ifi204",0,2.01425073220823,0.689,0.118,0,0,1.48942815446796,0.489,0.077,0,0,0
"Ifi211",0,1.60694636650274,0.516,0.103,0,0,1.13754032638875,0.344,0.06,0,0,0
"Eprs",0,-0.61345505348111,1,0.997,0,1.51274319283805e-220,-0.579686548270907,1,0.998,3.34512902232278e-216,1.51274319283805e-220,0
"Atf3",0,2.14162631228253,1,0.856,0,0,1.62823639480746,0.998,0.854,0,0,0
"Nenf",0,-0.640261391892414,0.998,0.997,0,2.45675638991677e-219,-0.517278773422809,0.999,0.998,5.43262540502296e-215,2.45675638991677e-219,0
"Fam107b",0,1.26174654196707,0.446,0.133,0,2.61733875458486e-171,0.931121504551283,0.294,0.075,5.78772118801351e-167,2.61733875458486e-171,0
"Camk1d",0,1.51546398242682,1,0.922,0,0,1.84309470358614,0.991,0.821,0,0,0
"Atp5c1",0,-0.976106382972286,1,1,0,0,-0.779058252515652,1,1,0,0,0
"Mrc1",0,2.89774929156692,0.524,0.056,0,0,1.61956430259131,0.305,0.012,0,0,0
