"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm42418",0,0.93854249167834,1,1,0
"Ero1l",1.13091000805739e-289,0.881512858794346,0.953,0.901,2.50078130081732e-285
"Dlc1",1.08486445220232e-218,0.660154093829464,0.885,0.8,2.39896076315499e-214
"Hilpda",4.59202481502009e-202,0.646074057291865,0.714,0.577,1.01543444734539e-197
"Espn",5.80309257805831e-124,0.645816048698399,0.728,0.639,1.28323786178604e-119
"Selenbp1",2.75250688690141e-142,0.63280288079587,0.719,0.622,6.08661847900509e-138
"Ncam1",2.1796784069099e-190,0.621574611762158,0.581,0.414,4.81992286119986e-186
"Camk1d",0,0.616352136621251,0.897,0.782,0
"Car9",2.33246014352312e-181,0.567171869429777,0.661,0.514,5.15776911537267e-177
"Gbe1",9.54463108571755e-150,0.561153356837493,0.842,0.769,2.11060427198472e-145
"Ier3",6.69857783759435e-170,0.561013096265234,0.814,0.744,1.48125651722724e-165
"Lars2",0,0.533663346209409,0.911,0.807,0
"Bnip3",7.40753156519825e-188,0.509547530666188,0.899,0.855,1.63802745501229e-183
"Vcl",9.70585557454665e-129,0.49659189011694,0.764,0.676,2.1462558431995e-124
"Vegfa",6.37379140080863e-149,0.492608175614706,0.67,0.546,1.40943649246081e-144
"Gphn",0,0.487344529497471,0.981,0.936,0
"Egln1",4.27116813360549e-229,0.472274070421849,0.96,0.926,9.44483409384183e-225
"Slc2a1",3.75890412445831e-183,0.466138463992888,0.776,0.663,8.31206469041465e-179
"Bhlhe40",5.02498406416715e-168,0.458063386801808,0.807,0.706,1.11117472610928e-163
"Sap30",9.95270005502518e-168,0.448148813212694,0.689,0.553,2.20084056316772e-163
"Cd74",3.29425906361188e-208,0.440373261207695,0.301,0.128,7.28459506736495e-204
"Iigp1",3.87933169025849e-50,0.438914556715064,0.149,0.084,8.57836616666861e-46
"Gpi1",0,0.42895257311404,1,1,0
"Pakap.1",6.35088607185218e-165,0.426738125196463,0.986,0.976,1.40437143706867e-160
"Fam162a",1.60638132282959e-226,0.422726234221948,1,0.998,3.55219101917307e-222
"Phlda1",3.24454285222387e-213,0.412719256189511,0.998,0.995,7.17465760912264e-209
"Cmss1",1.09618789031472e-234,0.411863601547738,0.991,0.974,2.42400028185294e-230
"Bnip3l",3.62703409132482e-169,0.408324415635844,0.951,0.932,8.02046048614658e-165
"Mgarp",1.66536911131968e-154,0.402757050759404,0.71,0.588,3.68263071586121e-150
"Ndrg1",2.85833346541075e-71,0.39569987650129,0.543,0.453,6.32063279206278e-67
"Rnf217",6.5312980586254e-115,0.389718834247964,0.644,0.524,1.44426593970384e-110
"Gpr137b",2.16887549176245e-138,0.386534629924014,0.958,0.939,4.79603437493431e-134
"Pfkp",4.99204708260654e-229,0.381118769977334,0.996,0.99,1.10389137137678e-224
"Tpd52",5.19913211267752e-212,0.378631806718261,0.961,0.927,1.14968408407638e-207
"Ankrd37",5.4176615409317e-115,0.376749739995497,0.434,0.296,1.19800749654623e-110
"Mxi1",5.31707669652103e-99,0.370904470381973,0.762,0.689,1.17576516990169e-94
"Ptprj",4.96036076097562e-85,0.36526410593266,0.968,0.948,1.09688457507454e-80
"Clcn3",1.89572633148108e-150,0.364179212818235,0.854,0.771,4.19201963680411e-146
"Cdkn1b",1.48608039608125e-106,0.361901639217034,0.892,0.844,3.28616957985447e-102
"Cdkn1a",3.94793954405664e-38,0.358832470023268,0.64,0.581,8.73007871377244e-34
"Abhd18",6.26000199199241e-142,0.357465318305031,0.622,0.483,1.38427424048928e-137
"Fos",4.8029655573656e-66,0.354271021134549,0.964,0.951,1.06207977370026e-61
"Gbp2",7.08124124308042e-42,0.350877885258059,0.211,0.143,1.56587487608237e-37
"Map3k1",6.04196820722586e-124,0.349301980455657,0.623,0.496,1.33606042966385e-119
"Sbf2",1.89114321257411e-119,0.348751602502821,0.931,0.891,4.18188498596514e-115
"Ccl8",0,0.347099295018549,0.223,0.038,0
"Cited2",1.85772267284916e-87,0.339353555610723,0.935,0.911,4.10798214647135e-83
"Vdac1",0,0.339350182558929,1,1,0
"Igtp",1.14503430526638e-22,0.336149037898377,0.241,0.192,2.53201435923555e-18
"Ptch1",3.61468445367419e-81,0.332698210995153,0.623,0.521,7.99315173240974e-77
