"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Arg1",1.9693819262611e-18,2.13086290863053,0.52,0.079,3.15081414382514e-14
"Ccl24",1.59585788889282e-10,1.78074886380571,0.282,0.022,2.55321303643962e-06
"Fn1",1.43325298296061e-14,1.50682834009434,0.541,0.165,2.29306144743868e-10
"Ccl6",5.8604469171198e-15,1.36398363357765,0.85,0.59,9.37612902269996e-11
"Crip1",6.84550677376254e-18,1.3086247502948,0.881,0.698,1.09521262873427e-13
"Mrc1",7.60004482868616e-12,1.14660697182839,0.575,0.259,1.2159311721415e-07
"Eps8",6.43911694633396e-17,1.11986969476468,0.796,0.453,1.03019432024397e-12
"Ccl7",6.91350682784792e-07,0.977696956365327,0.439,0.194,0.0110609195738739
"Srgn",1.57805355698868e-13,0.974332324549705,0.976,0.885,2.52472788582619e-09
"Ccl2",4.03322987240289e-08,0.957857225564391,0.588,0.331,0.000645276447285738
"Mgl2",3.94861602597372e-11,0.932184615772429,0.262,0,6.31739077995535e-07
"H2-DMb1",2.93321621231445e-14,0.811659753800547,0.765,0.453,4.69285261808189e-10
"Ccr2",7.97772530973519e-14,0.773253704281691,0.616,0.245,1.27635627230453e-09
"Ear2",2.5517279265673e-07,0.772979285636487,0.184,0.007,0.00408250950971502
"Sgms1",1.82899527243543e-09,0.737796561864004,0.755,0.525,2.92620953636944e-05
"Gda",4.0295125318426e-10,0.736482652145469,0.704,0.424,6.44681709969498e-06
"Arhgap15",2.17401340637162e-09,0.73600013521022,0.663,0.396,3.47820404885395e-05
"Trerf1",3.34140603962928e-10,0.731247676470195,0.51,0.201,5.34591552280288e-06
"Xylt1",3.73700553224847e-08,0.72338285103598,0.503,0.245,0.000597883515104432
"Lgals3",8.06754554010337e-08,0.716820474914388,0.99,0.986,0.00129072661096114
"Ccl9",1.31091099805372e-06,0.699688739721063,0.721,0.54,0.0209732650578615
"Atf3",4.1074688716953e-07,0.687886157134308,0.932,0.899,0.00657153944782531
"H2-Eb1",8.99865262743284e-13,0.683207395936107,0.973,0.885,1.43969443386298e-08
"Plac8",0.00171399913578666,0.672596329623437,0.619,0.547,1
"Cd36",7.55862801566899e-05,0.669749128527831,0.265,0.101,1
"AA467197",7.09500769860698e-05,0.664951539154458,0.333,0.151,1
"H2-DMa",2.8655742640784e-09,0.64570365456118,0.738,0.59,4.58463226509903e-05
"Gm2a",4.20701983021107e-08,0.641889224764923,0.776,0.619,0.000673081102635469
"Pfkp",3.77155409904964e-06,0.630664415456632,0.595,0.432,0.0603410940306951
"Plcb1",4.9509994736247e-05,0.629524961839666,0.327,0.151,0.792110405785216
"Dab2",1.06422626240263e-06,0.628059815461158,0.561,0.338,0.0170265559721796
"H2-Aa",1.03210959609665e-09,0.610082301891363,0.969,0.964,1.65127214279503e-05
"Picalm",5.16112692566695e-09,0.607094919876968,0.864,0.705,8.25728696837455e-05
"Iqgap1",1.9887635615933e-10,0.594520113937402,0.932,0.827,3.18182282219313e-06
"Cd74",3.49542540320009e-10,0.590833247352856,0.99,0.986,5.59233110257983e-06
"Creb5",1.81390470494053e-06,0.589420969703543,0.663,0.453,0.0290206613743435
"Ctsc",8.39638527519915e-07,0.581852125730773,0.844,0.698,0.0134333768017911
"Mtss1",1.48648890628431e-08,0.576181070487314,0.405,0.137,0.000237823360116427
"Lpp",7.78852186478821e-08,0.568738928652355,0.752,0.547,0.00124608561314747
"Foxn3",2.2981685229602e-06,0.568062840477535,0.707,0.511,0.0367683981988402
"Lpl",7.98268059159893e-05,0.566627765746167,0.276,0.108,1
"Spon1",9.47874456983799e-07,0.5620075598875,0.276,0.072,0.0151650434372838
"Mbnl1",5.78507207835743e-08,0.560129553902708,0.728,0.504,0.000925553681816405
"Tmx4",0.0127825917170971,0.556070160127917,0.252,0.158,1
"Fbxw11",1.99038817088023e-08,0.548996241161084,0.748,0.496,0.000318442203459128
"Jmjd1c",1.36875067958938e-05,0.544420318723998,0.718,0.525,0.218986421227506
"Alcam",1.62557059971531e-05,0.542074579752972,0.67,0.468,0.260075040248452
"H2-Ab1",4.96787020479021e-09,0.541531824861169,0.98,0.95,7.94809554064386e-05
"Ccl12",0.00535101924769781,0.531031287952014,0.187,0.086,1
"Tiparp",3.4539610451887e-07,0.529510637056657,0.697,0.432,0.0055259922761974
