"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm42418",5.90764314259671e-47,1.29702372917188,1,1,1.30635712812241e-42
"Cd74",5.94560785002482e-98,1.15202955010767,0.969,0.066,1.31475226387599e-93
"Ccl6",2.89216267542408e-111,1.11220210328656,0.916,0.018,6.39543932416528e-107
"Fn1",1.79752534808016e-120,1.08585286658047,0.932,0.006,3.97486780220966e-116
"Gphn",3.1998432888256e-28,1.08465755323272,1,0.997,7.07581346458005e-24
"Cmss1",2.38079552745601e-31,1.02276852725354,1,1,5.26465314986348e-27
"Cxcl2",7.52656523697055e-39,0.992789487232284,1,0.97,1.6643493708513e-34
"Lars2",4.00396175467169e-25,0.984447311069244,1,0.985,8.85396062810551e-21
"Rnf19b",2.01402666227282e-46,0.903301558606654,0.752,0.127,4.45361715828389e-42
"Arg1",1.06013838200788e-42,0.871049472677255,0.461,0.006,2.34428400413404e-38
"H2-Ab1",1.23881920698964e-38,0.851203987239889,0.511,0.042,2.7394009124162e-34
"Cebpb",5.11491862801228e-67,0.806137040784971,0.864,0.102,1.13106195621235e-62
"Wfdc17",3.86107776698556e-62,0.801593539020657,0.644,0.018,8.53800126613516e-58
"Themis",0.000628959527461076,0.757463570474294,0.39,0.289,1
"Ctss",2.84663811888222e-52,0.746579015861805,0.923,0.175,6.29477087228424e-48
"Lgals3",6.04881267471318e-35,0.740927814905491,1,0.985,1.33757394675933e-30
"Camk1d",2.11220325385183e-12,0.730551987307035,1,1,4.67071505524255e-08
"Hilpda",3.08179145168765e-54,0.720507004596475,1,0.988,6.81476543711691e-50
"Gadd45g",3.80528644665446e-49,0.709581137790406,0.811,0.136,8.41462991948701e-45
"Ankrd37",1.62495996123067e-52,0.688856165044645,0.607,0.033,3.59327396226937e-48
"Tnfrsf4",0.0150619262598474,0.68588172071486,0.232,0.166,1
"Igf1r",3.85396902573133e-54,0.68337898562403,0.783,0.13,8.52228170659968e-50
"Malat1",2.33727776576119e-16,0.677792026006472,1,1,5.16842232342772e-12
"Nfkbia",2.9411818686931e-08,0.670513246208405,1,0.997,0.000650383546624105
"Hivep1",2.20635316591639e-05,0.65793975344022,0.285,0.16,0.487890875579092
"Noct",2.20732598025061e-52,0.656001996521702,0.656,0.054,4.88105994012817e-48
"F3",8.29854760681744e-46,0.642936235587237,0.498,0.012,1.83505783229554e-41
"Gm19951",4.18495732690873e-05,0.640166391568998,0.232,0.117,0.925419613699328
"Ctsh",5.74552551124238e-30,0.636551190685681,0.378,0.018,1.27050805630103e-25
"Cd68",5.06130533053583e-42,0.636420879663789,0.517,0.03,1.11920644774139e-37
"Fem1c",6.39190008250208e-34,0.631209998080238,0.653,0.127,1.41344086524368e-29
"Lag3",0.00335845184814102,0.629016756494157,0.229,0.148,1
"Ier3",4.10047079038942e-58,0.626639258721138,1,0.991,9.06737105878813e-54
"Etv6",2.18651929648137e-13,0.621510673352,0.997,0.997,4.83505012030925e-09
"Errfi1",3.14031828033223e-35,0.618987028180278,0.693,0.136,6.94418581329866e-31
"Lrrk1",1.23187171769663e-23,0.618433002445032,0.641,0.178,2.72403792934257e-19
"Bmp2k",2.35949207117837e-11,0.615645140551296,0.421,0.157,5.21754481699674e-07
"Trib1",1.17346972095383e-42,0.612538745073581,0.601,0.066,2.59489359394521e-38
"Hspa1a",0.027363104229908,0.610387463911756,0.449,0.407,1
"Samsn1",0.00028440988748428,0.606387818755248,0.449,0.328,1
"Ncam1",3.25556875653691e-52,0.602306641943432,0.963,0.389,7.19903919133006e-48
"H2-Aa",2.19482673723293e-18,0.602161865163659,0.269,0.024,4.85342036404317e-14
"Snx18",1.78198823766954e-38,0.601840269715498,0.817,0.181,3.94051058995864e-34
"Cask",1.30449906038315e-48,0.599076485267019,0.635,0.066,2.88463877222526e-44
"Il2ra",0.00992946024449511,0.592074642513865,0.201,0.133,1
"Pim1",2.20230719703473e-15,0.590679311109842,0.963,0.482,4.8699619048029e-11
"Cdk6",1.94116346970057e-14,0.587136871955493,0.684,0.292,4.29249478054888e-10
"Ptger4",0.000734687942084914,0.585336428640716,0.167,0.084,1
"Emp1",3.26086784118959e-32,0.584279483338938,0.675,0.151,7.21075705722254e-28
"Fam107b",0.000600891047326253,0.575335236635956,0.613,0.557,1
