"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm42418",6.65884637035391e-06,0.596419612368414,1,1,0.0767498632646992
"Sec31a",1.74970175767262e-05,0.423694361409296,0.367,0.019,0.201670624589347
"Dyrk1a",2.4207410825307e-05,0.635474205798604,0.5,0.094,0.279014617172489
"Rpl35",3.52096551850849e-05,-0.715998164702774,0.9,0.981,0.405826485663289
"Ust",0.000276218439584637,0.743027346953407,0.367,0.057,1
"Rpl28",0.000349501753207545,-0.630766190334281,0.967,1,1
"Sh3kbp1",0.000445231721345485,0.622484179572601,0.6,0.226,1
"Ly6a",0.000521706212305897,-0.716626926988118,0.033,0.377,1
"S100a4",0.000693938765932578,-0.743754759828845,0.2,0.585,1
"Ifi203",0.000744696613615433,0.421422400245443,0.5,0.151,1
"Zfp277",0.000751066244131388,0.361598240317383,0.3,0.038,1
"Kcnq1ot1",0.000817244927278005,0.37851162325373,0.2,0,1
"Med1",0.000887340339454543,0.37122694151516,0.333,0.057,1
"Tor1aip1",0.000934784383741653,0.380457267568699,0.367,0.075,1
"Tmx4",0.000982607924577205,0.335603031784439,0.3,0.038,1
"Ndufb1-ps",0.00103380061472976,-0.594007640324163,0.2,0.547,1
"Diaph1",0.00108756052840415,0.429839101630204,0.7,0.321,1
"Rpl37",0.00113780521333062,-0.386963183321151,1,1,1
"Ndufa2",0.00148689582858521,-0.551779404934866,0.267,0.604,1
"Nktr",0.00155175341883516,0.499101764067318,0.733,0.34,1
"Thrap3",0.0016123113919824,0.509828170660377,0.533,0.208,1
"Edrf1",0.00162053735159759,0.275595722420162,0.233,0.019,1
"Fau",0.00185681603422013,-0.421687482553561,1,1,1
"Eef1d",0.00189786062577917,-0.519199052675626,0.367,0.717,1
"Larp4b",0.00195320483789792,0.405992359675837,0.433,0.132,1
"Tnpo3",0.00196152215782742,0.465934900132119,0.267,0.038,1
"Atg10",0.00200432596834647,0.422480482464406,0.367,0.094,1
"Lars2",0.00225020594074338,0.571051605946333,0.7,0.453,1
"Tiparp",0.00228584778396838,0.492975661270477,0.367,0.094,1
"Tmbim4",0.00229103022606949,0.382145617721469,0.433,0.132,1
"Slf1",0.00240607215637648,0.263034405833794,0.167,0,1
"Rab14",0.00246033208204162,0.375618710632318,0.5,0.17,1
"Grap2",0.00290074450345446,0.451796049288962,0.4,0.113,1
"Metrnl",0.00302401837163681,0.355366286605869,0.333,0.075,1
"Fyn",0.00306277893399174,0.474379334656087,0.767,0.472,1
"Rpl36",0.00325491735609455,-0.455442921203918,0.967,0.981,1
"Lef1",0.00329869023094213,0.320600868445192,0.333,0.075,1
"Arhgap17",0.00348304260362243,0.420491929370952,0.5,0.189,1
"Rpl41",0.0038157385553133,-0.524105627094007,1,0.981,1
"Mapk1",0.00398606649429347,0.458459779569972,0.467,0.189,1
"Foxp1",0.0042795263363824,0.617937993577169,0.7,0.509,1
"Fos",0.00500466103230965,0.880408406033612,0.7,0.491,1
"Rpl24",0.0050452144000073,-0.40830862799463,1,1,1
"Tmod3",0.00525511968925443,0.35868664489748,0.4,0.132,1
"Prelid1",0.00525656138244579,-0.51600512832289,0.267,0.547,1
"Ankib1",0.00532669120716221,-0.38060400221497,0,0.226,1
"Phf11b",0.00607433505129478,0.287597658873607,0.233,0.038,1
"Pigp",0.00607433505129478,0.287597658873607,0.233,0.038,1
"Klhl18",0.00630573413893051,0.335603031784439,0.267,0.057,1
"Git2",0.00632756947423511,0.35868664489748,0.4,0.132,1
"Elmo2",0.00674698676456401,0.299077155759325,0.267,0.057,1
"Stk38",0.00674698676456401,0.299077155759325,0.267,0.057,1
"Rps20",0.00676948551279392,-0.444208817805844,0.967,1,1
"Hspa1a",0.00699044087104635,0.854582418665707,0.6,0.358,1
"Gphn",0.00700015927517885,0.481823772635483,0.867,0.528,1
"Gm36723",0.00700712961780746,-0.477311415615066,0.1,0.396,1
"Ehbp1",0.00704028152207444,0.263034405833794,0.133,0,1
"Uggt1",0.00704034210131966,0.284976958714471,0.333,0.094,1
"Ccl3",0.00716584525994037,0.695498976870822,0.467,0.189,1
"Nsd1",0.00719861256860967,0.326265167205103,0.4,0.132,1
"Lmbrd1",0.00720671231907564,0.261602450340662,0.267,0.057,1
"Orc4",0.00736182625606825,0.273542063652187,0.3,0.075,1
"Syne3",0.00736182625606825,0.273542063652187,0.3,0.075,1
