"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cited1",0,1.28363966326711,0.98,0.962,0,"0","Cited1"
"Espn",0,1.21625932628259,0.792,0.747,0,"0","Espn"
"Pde4d",0,1.14409377251089,0.998,0.995,0,"0","Pde4d"
"S100b",0,1.12152431566233,0.992,0.954,0,"0","S100b"
"Oca2",0,1.11766023633274,0.93,0.93,0,"0","Oca2"
"Chsy3",0,1.08035045262995,0.999,0.996,0,"0","Chsy3"
"Vamp5",0,1.06489160338932,0.986,0.956,0,"0","Vamp5"
"Gpr158",0,1.01409598851199,0.715,0.648,0,"0","Gpr158"
"Ptgds",0,1.01175494935344,1,1,0,"0","Ptgds"
"Ugp2",0,1.01069099837211,1,0.998,0,"0","Ugp2"
"Selenbp1",0,1.00831943177591,0.801,0.722,0,"0","Selenbp1"
"Aldoc",0,0.999478754219618,0.897,0.771,0,"0","Aldoc"
"Ccnd2",0,0.985598669333546,1,0.997,0,"0","Ccnd2"
"Pde11a",0,0.974587610470695,0.989,0.972,0,"0","Pde11a"
"Ero1l",0,0.957819047368501,0.974,0.931,0,"0","Ero1l"
"S100a1",0,0.954592072064371,0.999,0.993,0,"0","S100a1"
"Higd1a",0,0.95347618530895,1,1,0,"0","Higd1a"
"Bnip3",0,0.951360261224543,0.965,0.881,0,"0","Bnip3"
"Gapdh",0,0.90254439789819,1,1,0,"0","Gapdh"
"Prkg1",0,0.897897911369135,0.995,0.991,0,"0","Prkg1"
"Snca",0,0.893669817233395,0.989,0.971,0,"0","Snca"
"Fmn1",0,0.883927001246558,0.998,0.994,0,"0","Fmn1"
"Bsg",0,0.859507144180479,1,1,0,"0","Bsg"
"Kdm5b",0,0.857343823356414,0.909,0.728,0,"0","Kdm5b"
"Gsta2",0,0.854581190305276,0.925,0.924,0,"0","Gsta2"
"Fam162a",0,0.852320864574479,1,0.999,0,"0","Fam162a"
"Car9",0,0.84844111658695,0.712,0.633,0,"0","Car9"
"Ankfn1",0,0.845679622256969,0.993,0.987,0,"0","Ankfn1"
"Mxd4",0,0.842946021624489,0.87,0.721,0,"0","Mxd4"
"Stox2",0,0.834074838706678,0.992,0.983,0,"0","Stox2"
"Mt1",0,0.833026421546264,1,1,0,"0","Mt1"
"Tyr",0,0.828175749652652,0.991,0.981,0,"0","Tyr"
"Magi2",0,0.826165730420144,0.908,0.88,0,"0","Magi2"
"Hk2",0,0.816344349056961,0.993,0.968,0,"0","Hk2"
"Ano3",0,0.811658717092453,0.757,0.752,0,"0","Ano3"
"Dct",0,0.791575107860433,1,1,0,"0","Dct"
"Pmel",0,0.789855590712627,1,1,0,"0","Pmel"
"Pgk1",0,0.782831459648158,1,1,0,"0","Pgk1"
"AC149090.1",0,0.77726298458478,0.997,0.99,0,"0","AC149090.1"
"Ahnak2",0,0.773781450799364,0.831,0.766,0,"0","Ahnak2"
"Prelid2",0,0.771230618285598,0.966,0.92,0,"0","Prelid2"
"Egln1",0,0.769871174750228,0.975,0.949,0,"0","Egln1"
"Trappc6a",0,0.768378114648363,0.99,0.969,0,"0","Trappc6a"
"Nrcam",0,0.762477582675401,0.997,0.986,0,"0","Nrcam"
"Gyg",0,0.756717570744301,0.995,0.988,0,"0","Gyg"
"Gbe1",0,0.747932576725709,0.898,0.829,0,"0","Gbe1"
"Pakap.1",0,0.734657395123608,0.988,0.985,0,"0","Pakap.1"
"Aldoa",0,0.73432574050401,1,1,0,"0","Aldoa"
"Ppargc1a",0,0.733182230162234,0.982,0.985,0,"0","Ppargc1a"
"Gm4876",0,0.727380171661985,0.932,0.923,0,"0","Gm4876"
"Chchd10",0,0.726736410748584,1,0.997,0,"0","Chchd10"
"Rora",0,0.724418330646987,0.939,0.872,0,"0","Rora"
"Etl4",0,0.719583930054524,0.943,0.946,0,"0","Etl4"
"Syt4",0,0.717621908087572,0.999,0.995,0,"0","Syt4"
"Dclk1",0,0.712418853427967,0.965,0.948,0,"0","Dclk1"
"Tmf1",0,0.711943901880468,0.992,0.985,0,"0","Tmf1"
"Ifi27",0,0.709212987528582,1,1,0,"0","Ifi27"
"Bnip3l",0,0.702335988041931,0.987,0.942,0,"0","Bnip3l"
"Syne2",0,0.701048970879104,0.998,0.994,0,"0","Syne2"
"Gpi1",0,0.698578025485215,1,1,0,"0","Gpi1"
"Ndufv3",0,0.697804500394212,1,1,0,"0","Ndufv3"
"Grcc10",0,0.693154049728672,1,0.999,0,"0","Grcc10"
"Insig2",0,0.672609063032293,0.979,0.957,0,"0","Insig2"
"Ago2",0,0.671373117191315,0.999,0.996,0,"0","Ago2"
"Sgip1",0,0.668346607353274,0.943,0.936,0,"0","Sgip1"
