"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,1.28363966326711,0.98,0.962,0,"0","Cited1"
"2",0,1.21625932628259,0.792,0.747,0,"0","Espn"
"3",0,1.14409377251089,0.998,0.995,0,"0","Pde4d"
"4",0,1.12152431566233,0.992,0.954,0,"0","S100b"
"5",0,1.11766023633274,0.93,0.93,0,"0","Oca2"
"6",0,1.08035045262995,0.999,0.996,0,"0","Chsy3"
"7",0,1.06489160338932,0.986,0.956,0,"0","Vamp5"
"8",0,1.01409598851199,0.715,0.648,0,"0","Gpr158"
"9",0,1.01175494935344,1,1,0,"0","Ptgds"
"10",0,1.01069099837211,1,0.998,0,"0","Ugp2"
"11",0,1.00831943177591,0.801,0.722,0,"0","Selenbp1"
"12",0,0.999478754219618,0.897,0.771,0,"0","Aldoc"
"13",0,0.985598669333546,1,0.997,0,"0","Ccnd2"
"14",0,0.974587610470695,0.989,0.972,0,"0","Pde11a"
"15",0,0.957819047368501,0.974,0.931,0,"0","Ero1l"
"16",0,0.954592072064371,0.999,0.993,0,"0","S100a1"
"17",0,0.95347618530895,1,1,0,"0","Higd1a"
"18",0,0.951360261224543,0.965,0.881,0,"0","Bnip3"
"19",5.45797340390535e-225,1.54204740960552,0.581,0.582,1.20692165880559e-220,"0","Kcnj13"
"20",2.99531497681133e-62,1.1075982185756,0.752,0.833,6.6235400082229e-58,"0","Mgll"
"21",0,2.75134574449333,0.844,0.627,0,"1","Hist1h2ae"
"22",0,2.70840638141939,0.991,0.773,0,"1","Top2a"
"23",0,2.33556349980814,0.98,0.631,0,"1","Pclaf"
"24",0,2.22676659658796,0.903,0.566,0,"1","Prc1"
"25",0,1.88783336683484,0.833,0.606,0,"1","Cenpf"
"26",0,1.83824814145564,0.979,0.662,0,"1","Rrm2"
"27",0,1.79723137671338,0.981,0.698,0,"1","Lig1"
"28",0,1.7839742606205,0.879,0.659,0,"1","Mki67"
"29",0,1.73735545870334,0.731,0.307,0,"1","Nusap1"
"30",0,1.70496599441565,0.791,0.668,0,"1","Ube2c"
"31",0,1.6715809816901,1,0.963,0,"1","Hmgb2"
"32",0,1.6646663229837,0.969,0.659,0,"1","Mcm7"
"33",0,1.63284278175931,0.992,0.877,0,"1","Smc4"
"34",0,1.61224530312523,0.821,0.618,0,"1","Hist1h1e"
"35",0,1.59031482209842,0.889,0.206,0,"1","Rad51ap1"
"36",0,1.55045050275658,0.941,0.734,0,"1","Birc5"
"37",0,1.54694521509621,0.791,0.582,0,"1","Hist1h4d"
"38",0,1.53895377153258,0.675,0.189,0,"1","Hist2h2ac"
"39",0,1.53258492742146,0.948,0.623,0,"1","Mcm3"
"40",0,1.51632474468428,0.61,0.068,0,"1","Hist1h2ab"
"41",0,4.3409477418581,0.611,0.121,0,"2","Pf4"
"42",0,4.14227861975394,0.994,0.398,0,"2","Lyz2"
"43",0,4.06470750533041,0.635,0.112,0,"2","Arg1"
"44",0,3.94947090398859,0.578,0.1,0,"2","C1qb"
"45",0,3.92532650986106,0.978,0.227,0,"2","Ctss"
"46",0,3.69295679790847,0.843,0.181,0,"2","Ccl6"
"47",0,3.59838917158164,0.469,0.099,0,"2","C1qa"
"48",0,3.54392505837955,1,0.725,0,"2","Lgals3"
"49",0,3.5115052327134,0.804,0.077,0,"2","Pid1"
"50",0,3.3465211664521,0.685,0.043,0,"2","F13a1"
"51",0,3.29818015433798,0.805,0.058,0,"2","Mafb"
"52",0,3.10337065876882,0.668,0.069,0,"2","Ccl9"
"53",0,3.10165139015101,0.888,0.217,0,"2","Wfdc17"
"54",0,3.07313484627137,0.744,0.071,0,"2","Rasgef1b"
"55",0,3.05840620368943,0.525,0.077,0,"2","Ccl7"
"56",0,3.02633101070204,0.643,0.092,0,"2","Ccl2"
"57",0,2.9302507591884,0.872,0.231,0,"2","Cd68"
"58",0,2.89429334099929,0.474,0.058,0,"2","C1qc"
"59",1.00578402992271e-204,3.2830076196111,0.282,0.127,2.22409022536808e-200,"2","Ccl8"
"60",1.65953631606523e-60,4.39422480966407,0.416,0.419,3.66973265571504e-56,"2","Saa3"
"61",0,1.31089448340365,0.962,0.673,0,"3","Ccnb2"
"62",0,1.22308356098731,0.969,0.753,0,"3","Birc5"
"63",0,1.17967814316511,0.964,0.694,0,"3","Cdca3"
"64",0,1.11884242990299,0.86,0.543,0,"3","Cenpa"
"65",0,1.09390925456759,0.871,0.38,0,"3","Cdkn3"
"66",0,1.0751426883236,0.685,0.281,0,"3","Cdc20"
"67",0,1.06755118031952,1,1,0,"3","H2afz"
"68",0,0.998315383807628,1,0.999,0,"3","Ube2s"
"69",0,0.98903395942161,0.854,0.55,0,"3","Knstrn"
"70",0,0.943480363596388,0.867,0.617,0,"3","Ccnb1"
"71",0,0.939613995123609,0.746,0.429,0,"3","Hmmr"
"72",0,0.927055579709273,0.988,0.984,0,"3","Tubb4b"
"73",0,0.901311833361148,1,0.996,0,"3","Selenoh"
"74",0,0.85632188374589,1,1,0,"3","Hmgb1"
"75",0,0.847243008871805,0.988,0.916,0,"3","Ddx39"
