ID,p_val,log2FC,pct.1,pct.2,Pvalue,,,,
Spp1,1.28E-295,2.52587655,0.942,0.234,2.82E-291,,,,Cbr2
Ccl24,1.15E-77,2.200633881,0.215,0.005,2.55E-73,,,,Cd163
Ccl6,1.61E-214,2.094791617,0.991,0.589,3.57E-210,,,,Ccl6
Arg1,6.51E-175,2.05825201,0.788,0.372,1.44E-170,,,,Lyve1
Fn1,0,2.045583713,0.926,0.146,0,,,,Cxcl5
Ccl8,1.08E-24,1.954408601,0.333,0.193,2.39E-20,,,,Clec10a
Mmp12,2.22E-44,1.800171765,0.304,0.115,4.92E-40,,,,Ednrb
Ccl2,1.50E-116,1.6736766,0.742,0.473,3.31E-112,,,,Cd209f
Srgn,4.86E-211,1.561864634,0.997,0.866,1.07E-206,,,,F13a1
Cxcl3,2.24E-53,1.541706298,0.24,0.056,4.95E-49,,,,Fcgrt
Thbs1,5.86E-61,1.506067913,0.502,0.28,1.30E-56,,,,Fcna
Ccl7,1.28E-68,1.480372513,0.609,0.38,2.84E-64,,,,Cfd
Cd74,1.14E-176,1.476939227,0.98,0.409,2.51E-172,,,,Serpinb2
Mrc1,2.42E-63,1.425765218,0.524,0.305,5.34E-59,,,,Cfh
H2-Eb1,3.34E-63,1.331631792,0.42,0.169,7.39E-59,,,,Ccl8
H2-Aa,2.10E-66,1.325809645,0.507,0.236,4.64E-62,,,,C4b
Ccl12,4.44E-49,1.315707609,0.302,0.107,9.82E-45,,,,Mrc1
Cd36,7.40E-67,1.287933509,0.532,0.273,1.64E-62,,,,Cxcl1
H2-Ab1,2.86E-85,1.197578008,0.643,0.311,6.32E-81,,,,Steap4
Bcar3,7.47E-97,1.197556895,0.379,0.082,1.65E-92,,,,Cd34
Dab2,3.26E-83,1.138966839,0.651,0.405,7.20E-79,,,,Alox5
Plcb1,9.78E-49,1.134279549,0.424,0.211,2.16E-44,,,,Slco2b1
Ccl9,1.02E-68,1.090581474,0.743,0.538,2.26E-64,,,,Ccl12
Sgms1,1.95E-109,1.080397664,0.989,0.877,4.32E-105,,,,Vcam1
Anxa1,5.37E-100,1.047114631,0.989,0.97,1.19E-95,,,,Cd209g
