"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Fn1",1.79752534808016e-120,1.08585286658047,0.932,0.006,3.97486780220966e-116
"Saa3",5.11406422760892e-113,-1.68211164590187,0.025,0.982,1.13087302265116e-108
"Ccl6",2.89216267542408e-111,1.11220210328656,0.916,0.018,6.39543932416528e-107
"Cd74",5.94560785002482e-98,1.15202955010767,0.969,0.066,1.31475226387599e-93
"Gcat",2.35081239058752e-67,-0.691772253052572,0.074,0.771,5.19835143930617e-63
"Cebpb",5.11491862801228e-67,0.806137040784971,0.864,0.102,1.13106195621235e-62
"Wfdc17",3.86107776698556e-62,0.801593539020657,0.644,0.018,8.53800126613516e-58
"Cln6",2.35519288170767e-61,-0.701263702029869,0.04,0.699,5.20803801932017e-57
"Ier3",4.10047079038942e-58,0.626639258721138,1,0.991,9.06737105878813e-54
"Nusap1",6.53575968169735e-58,-0.624457308787893,0.22,0.925,1.44525253841373e-53
"Hap1",1.5591889071672e-57,-0.640825318674942,0.142,0.774,3.44783443041883e-53
"Espn",2.32443957006609e-57,0.486849134915542,0.997,0.97,5.14003322128714e-53
"Plk1",7.16886669395037e-56,-0.660177381100159,0.034,0.645,1.58525149203325e-51
"Cenps",1.78674235201855e-55,-0.654724640788738,0.077,0.714,3.95102336301861e-51
"Hilpda",3.08179145168765e-54,0.720507004596475,1,0.988,6.81476543711691e-50
"Cenpm",3.23141049013318e-54,-0.663218740306778,0.164,0.81,7.1456180168315e-50
"Igf1r",3.85396902573133e-54,0.68337898562403,0.783,0.13,8.52228170659968e-50
"Cdc20",4.94160257943692e-54,-0.716114112967332,0.043,0.651,1.09273657839089e-49
"Knl1",2.79311455827162e-53,-0.702635915315316,0.046,0.657,6.17641422270603e-49
"Ankrd37",1.62495996123067e-52,0.688856165044645,0.607,0.033,3.59327396226937e-48
"Noct",2.20732598025061e-52,0.656001996521702,0.656,0.054,4.88105994012817e-48
"Ctss",2.84663811888222e-52,0.746579015861805,0.923,0.175,6.29477087228424e-48
"Ncam1",3.25556875653691e-52,0.602306641943432,0.963,0.389,7.19903919133006e-48
"Nacc2",9.50674962257037e-52,-0.583136771149594,0.118,0.723,2.10222754403899e-47
"Gm16062",8.32969372470895e-51,-0.616474452989395,0.028,0.59,1.84194517334489e-46
"Gadd45g",3.80528644665446e-49,0.709581137790406,0.811,0.136,8.41462991948701e-45
"Cask",1.30449906038315e-48,0.599076485267019,0.635,0.066,2.88463877222526e-44
"Gsta2",6.94176728467501e-48,-0.39705246635722,0.994,0.994,1.53503299966018e-43
"Cttnbp2",1.07480826609434e-47,-0.58242248208904,0.127,0.693,2.37672351881442e-43
"Gm42418",5.90764314259671e-47,1.29702372917188,1,1,1.30635712812241e-42
