B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.D3.A51F.06A.11R.A266.07	0	0	0.0144350949549039	0.505947035438463	0	0	0.0405757728311933	0.071451165145223	0.0385420905524178	0.019164338909205	0	0.0640448005587275	0.00720512603082149	0.0303683792083808	0.0726224670858122	0.0757368753126332	0.0145539824688642	0	0.0390581168189672	0	0.00629475468438762	0	0	0.406320796209328	0.926804804248286
TCGA.FS.A1ZT.06A.11R.A18U.07	0.0267777548753271	0.015306423760683	0.0258886161191757	0.306598261932888	0	0.0805294201409898	0.116535810217403	0.0365532076114218	0.0450727102683599	0	0.00529385239166206	0	0.00695619976154927	0.120540837134032	0.0812482290272561	0.0874264400042518	0.0191271057390382	0	0.0261451310159616	0	0	0	0.14	0.113078991628387	1.04940500270273
TCGA.DA.A95V.06A.11R.A37K.07	0.0426679086333791	0	0.0656025323903678	0.294168800166221	0	0	0.00680362000504862	0.0320969595809689	0.104793401790284	0	0.0200180418787559	0	0	0.187659091547679	0.0887120302787636	0.120143420492598	0.0028366908367225	0	0.0344975023992124	0	0	0	0.02	0.17629030037861	1.02149005388141
TCGA.W3.AA1W.06A.11R.A38C.07	0.037189981444115	0	0.00512590455917865	0.428552666866771	0	0	0.0939836415590102	0.0788126297264024	0.0352507069845436	0	0	0.0128466620964615	0	0.0963440116509726	0.106492321440327	0.0864682632921026	0.0121901831515466	0	0.00674302722856807	0	0	0	0	0.415882888927279	0.913433559383602
TCGA.EE.A2GP.06A.11R.A18S.07	0.0150349205289346	0	0	0.036227468700984	0	0.146893286383581	0.0216941714199908	0.0220602507022069	0.0210642118639627	0	0.00986955153799386	0	0.0386778162325183	0.213997892400207	0.0793777357294494	0.316711785975596	0.0269122465821912	0	0.0514786619423836	0	0	0	0.24	0.0646069114620639	1.07144815998836
TCGA.WE.A8ZR.06A.11R.A37K.07	0.13867276195391	0	0.0857635326944306	0.0640226483874002	0	0.0218276647275723	0.0469497445599862	0.0428675097265947	0.0446398603517684	0	0	0.00729871942232456	0	0.442079398943746	0.0446585274800012	0.0400573064139409	0	0	0.0211623253383247	0	0	0	0.02	0.290398234381697	0.981301812887673
TCGA.EE.A29Q.06A.11R.A18T.07	0.0594375239656112	0	0	0.0225650662741254	0	0.159800142549086	0.00870666037583385	0.0128787147671084	0.0318711236604027	0	0	0.0319144775211224	0.0765440968381048	0.381766384681671	0.0119321855322565	0.0976068615369217	0.0129861758876395	0.0277354062898737	0.0642551801202428	0	0	0	0.12	0.119392834717832	1.05289334634421
TCGA.EB.A3HV.01A.11R.A21D.07	0	0.000197513818065623	0	0.020627724707433	0	0.111562675508473	0	0.0253114822972576	0.018880930123755	0	0	0	0.0159352133733305	0.22656699000557	0.0248505938025185	0.317837873703415	0.068816661602078	0	0.152953126944762	0	0	0.0164592141133418	0.0600000000000001	0.138204056319826	1.04308905969554
TCGA.BF.AAP6.01A.11R.A40A.07	0.00100001775481572	0	0	0.0508729423485402	0	0.104479993425138	0.0517056457672046	0.0409284231119181	0.0158765439182766	0	0.0041465883071966	0.00118415542885649	0.0188690790075439	0.280943970359162	0.0341615601298952	0.317622849223867	0.0494155219355435	0.00785064939920166	0	0.0209420598828397	0	0	0.68	0.00174352242133321	1.11325780530974
TCGA.EE.A29N.06A.12R.A18S.07	0.0201050364250345	0.0900321940981195	0.0234669123492211	0.128454671925444	0	0.025219074383913	0.109214464015651	0.0161044765288398	0.1120399659562	0	0	0.0179509985363986	0	0.244381783167304	0.0587960068513069	0.108465587983433	0.00792479316882459	0	0.0378440346103103	0	0	0	0.02	0.179843892620836	1.01196854292993
