B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.ZJ.AAX8.01A.11R.A42T.07	0.00145783796644204	0	0.000715102778550244	0.236895521238671	0	0.0720478824048881	0.0325451028028564	0.0906338929247752	0.0966873296296751	0	0	0.0175652302579291	0	0.101205257909983	0.0903500638341712	0.100547213482298	0.0498445313726155	0.0312082557641614	0.0782967776329842	0	0	0	0.22	0.102388417472651	1.05373132026628
TCGA.ZJ.AAXU.01A.11R.A42T.07	0.149817888205988	0	0.209197422944462	0.207423928518386	0	0.0424311495556507	0.0861362926488365	0.0679859846040479	0.0614702190179512	0	0	0.0103081526041002	0.00775795123189575	0.0214408688777646	0.0587314327533283	0.014827519580983	0.0122175054706695	0.0244813868163354	0.0229317381237992	0	0	0.00284055904580144	0	0.436629517382813	0.904511800797401
TCGA.JX.A3Q0.01A.11R.A32Y.07	0.0408644360892106	0	0.0229890202480284	0.186215657755889	0	0.202547237181833	0.0631033867697486	0.0775904034443266	0.0103805575718264	0	0.0186560723796734	0	0	0.100629631085565	0.150022604985862	0.0668170872016199	0.00518956828521611	0.0323452737074177	0.0149620139875498	0	0	0.00768704930623362	0.0600000000000001	0.191414622945175	1.02293334440202
TCGA.DS.A1OC.01A.11R.A14Y.07	0.00349339743943182	0	0.014597892274049	0.173365976333783	0	0.0611554514736324	0.15375294037513	0.0572358194960945	0	0.023624204590272	0.0332977959287435	0.00896967937785381	0	0.204265633996784	0.0877136425994497	0.0874530533468876	0.00471561539180662	0.00972765769982237	0.0766312396762595	0	0	0	0.2	0.111359999869986	1.04188424584369
TCGA.EA.A3HS.01A.11R.A213.07	0.00457305830825763	0.000716022610902291	0.00839912808028951	0.0308558894739967	0	0.180916690914169	0.0513423350721266	0.0614182024338526	0.0536435792831887	0.0249802409517998	0.0319807145744623	0.0452784959783671	0	0.205650395433053	0.156046700428346	0.0657442275467525	0.0101304238843637	0.00356975334315339	0.0647541416829196	0	0	0	0.08	0.172833044938074	1.02629923392894
TCGA.JW.A5VK.01A.11R.A28H.07	0.155089467024352	0	0.0384268637610226	0.0432492416400627	0	0	0.0517811461142994	0.0388343030220096	0.0240648116982411	0.0130039497448869	0	0	0	0.312273823897122	0	0.12888045753297	0.00048587805277347	0.0389855866786667	0	0.138516628174721	0	0.0164078426588722	0.02	0.295911263230824	0.971897991511124
TCGA.VS.A9UC.01A.11R.A42T.07	0.052436048782959	0	0.0179638990422033	0.194679633900696	0	0.0737910939305824	0.141343931838618	0.0521819844439725	0.00298607576153503	0.0519331937340202	0	0.0326660768157179	0	0.0426546635554058	0.0922526865893964	0.116914793871353	0	0.0651223442141462	0.034494477876496	0	0	0.0285790956428987	0.02	0.255127792540459	0.982861736082914
TCGA.VS.A9UZ.01A.11R.A42T.07	0.209961832731882	0	0.178948489221028	0.0257470462724393	0	0.172457195940051	0.0293077712490371	0.0463675902667907	0.052657388598998	0	0.00917926316602465	0.0045043073381934	0	0.151699722284531	0.0700966208166087	0.0339639161686851	0	0.00427560946611321	0.00734138356540527	0	0	0.00349186291421366	0	0.480558218776075	0.877050632832333
TCGA.C5.A1MF.01A.11R.A13Y.07	0	0.0728830459793427	0.0712972805208125	0.168836310028904	0	0.0150823778054463	0.163284991247375	0.0703931551634368	0.0654583389584235	0	0.0121332605019147	0.0342107294702622	0	0.0970613015674092	0.0555855990841339	0.086047440307686	0	0.0515611471996831	0.0347411352917552	0	0	0.00142388687341523	0.02	0.250101593348357	0.981737066858672
TCGA.EK.A2RC.01A.11R.A18M.07	0.018877988679007	0	0.00684308894086201	0.244893177438991	0	0.210758925685748	0.0541882727536936	0	0.0418914230227034	0	0	0.0417435735437977	0.0263388279210913	0.0397738783099105	0.0784372445083624	0.0499768107337196	0.0213055317704936	0.0937767154015414	0.0661680766610928	0	0	0.00502646462898529	0.22	0.101001486128876	1.06118679742051
TCGA.LP.A4AX.01A.12R.A24H.07	0.0194488865759039	0	0.00900368461872113	0.347229693316228	0	0	0.165467503148592	0.0727900252034827	0	0	0.0555002667603568	0	0	0.0730515144663617	0.0794459376801738	0.0842286750684499	0.0111276280884916	0.0282014338960574	0.037647335704954	0	0.00875102918034895	0.00810638629187826	0.18	0.120040095053201	1.05030891565163
TCGA.DS.A7WF.01A.11R.A352.07	0.0483201239831562	0	0.00687972055735092	0.0887130439275678	0	0.151107828299707	0.0485423454403665	0.114606361941534	0.0302715009679166	0	0	0.0262276244315126	0	0.0956251373810117	0.262785943135792	0.0467193474994818	0.0333430348061212	0	0.0468579876284814	0	0	0	0.1	0.158152040573313	1.05538990577604
TCGA.VS.A9V0.01A.11R.A42T.07	0.0428748783112815	0	0	0	0	0.391102322961474	0	0.0364299665533128	0.0307070672524951	0	0.0500091811280053	0	0.0151709264760531	0.225762084528824	0.000187900040969248	0.00261497168008706	0.0765810001671986	0	0	0.106942254652745	0	0.0216174462475546	0.54	0.0271854404791029	1.08954847779244
TCGA.C5.A2LV.01A.11R.A18M.07	0	0.00428522453577132	0.00469074389369971	0.0724394225982348	0	0.0785825527372103	0.0800035382952134	0.00664419183897123	0.0475741972694743	0	0.0116990118941998	0.0350908553821539	0	0.286883608169993	0.0740551855542579	0.123714812499765	0.107265937103777	0	0.0495276054318558	0	0.0175431127954228	0	0.02	0.359524994279866	0.936334146028714
TCGA.DS.A0VM.01A.11R.A10U.07	0.045519727728694	0	0.0113931033089905	0.0785439011966606	0	0.0284098994426919	0.196540544382296	0.000454111796980131	0.00230230744964058	0	0	0.0898273366643317	0.0423859562919997	0.0350635846163058	0.0865361142518666	0.0915911438685456	0.0778024667052731	0.159738584104494	0.0538912181912297	0	0	0	0.02	0.289177167341348	0.966266285814874
TCGA.EK.A2R7.01A.11R.A18M.07	0.104480952209916	0	0.145535350350562	0.154413059767029	0	0.0600723312638351	0.0492688417208298	0.0609969615194094	0.0737729565339373	0	0	0.0398214305934657	0	0.0764484224284881	0.0904130046687756	0.0553093448070765	0.0149334961433245	0.0128642249619476	0.0616696230314035	0	0	0	0.02	0.343596989771742	0.945194740085831
TCGA.VS.A959.01A.11R.A42T.07	0.0221132550920321	0.0119224656823136	0.135687960766141	0.129607137566517	0	0.111743795194674	0	0.106075063756688	0.0943946727060764	0	0	0.0600432251947108	0.000899691537528297	0.0683713404648533	0.0783928931413127	0.0938861097279785	0.00336057222860445	0.0157626839392148	0.0647381780217641	0	0	0.00300095497959012	0.02	0.300688830177535	0.965233176188496
TCGA.EA.A78R.01A.11R.A32P.07	0.0448904879408922	0	0	0.123512904613879	0	0	0.0280984047892357	0.114135740778416	0	0	0	0.0188848605924715	0.00709996092020486	0.186366412239542	0.202981780265226	0.140621295881114	0	0.120106460141097	0.00171394789530698	0	0	0.0115877439426153	0	0.497079509089703	0.867553298182357
TCGA.FU.A3WB.01A.11R.A22U.07	0.102461779912784	0	0.0249120924208779	0.215920014038649	0	0.137435570984854	0.0741781949952117	0.0575201891110784	0.0432495078009631	0.00153390284768485	0	0.0459472659972959	0.00183221000335059	0.0176916756774677	0.0417995435224373	0.0851077878105967	0.0277150156046446	0.0552905841927186	0.0674046650793855	0	0	0	0.08	0.175234448589117	1.02015293821864
TCGA.BI.A0VS.01A.11R.A10U.07	0.184828616479315	0	0.0548909502916222	0.101616447757727	0	0.0364556154004967	0.137694932341356	0	0.0291345967345582	0.00164132303676579	0	0	0	0.22091440329409	0.0819976653358412	0.0818101677266161	0.0154273655276647	0	0.032367718060465	0	0.0212201980134833	0	0	0.41007496194087	0.911437964202533
TCGA.Q1.A6DV.01A.11R.A32P.07	0.0437385200088926	0	0.0143301237596915	0.192672823381944	0	0.0422480912209985	0.0136485596560982	0.0518194050193002	0	0	0	0.125564418265542	0	0.0928038323572132	0.0147901265032031	0.0239727231696633	0.0440752841263452	0.0983412652516675	0.0957556101332176	0	0.100400628060181	0.0458385890860426	0.36	0.0588886587320554	1.06249921238601
TCGA.VS.A8EJ.01A.11R.A37O.07	0.0664671687916184	0	0.00891285528821042	0.259944271850544	0	0.106177897664193	0.0363182719317228	0.0455095597293021	0.059506812602173	0	0.0545635477568805	0	0.0106470366953954	0.174795878706637	0.0977919209781043	0.0629679469473671	0.0114010572859765	0	0.00499577377187553	0	0	0	0.08	0.164271359857713	1.03318510188956
TCGA.Q1.A73R.01A.11R.A33Z.07	0.0185083020957538	0	0.00872776163289088	0	0	0.174991540408927	0	0	0.0273251619507441	0.173454313784833	0	0.166226558595151	0	0.112460150425288	0.1466641361117	0	0	0.0335279206729193	0.130639136437166	0	0	0.00747501788462642	0.0600000000000001	0.186183450922901	1.04423471884505
TCGA.C5.A2LZ.01A.11R.A213.07	0.0485139711224799	0	0.125213024757473	0.132385716079014	0	0.0150063410152962	0.00980967569520593	0.102694517915457	0.0669052085648619	0.0368199472142846	0	0.0759804567811522	0	0.0679903545574319	0.125047708931792	0.0802999539529161	0.0417990230112354	0.0233120654187203	0.0482220349826805	0	0	0	0.02	0.306706329662023	0.96265534303172
TCGA.VS.A950.01A.11R.A42T.07	0.000924535806412541	0.00951952845592434	0.152753393097288	0.0778839850776631	0	0.0134827425794193	0.0302679839010284	0.0661720419221669	0.0154177326051895	0	0	0.0479789229376633	0	0.296924613786202	0.0450820879639963	0.133987226437682	0.000383881475143587	0.0251631029990917	0	0.0589383802272443	0	0.0251198407278844	0.02	0.327300564548306	0.955116433430007
TCGA.DS.A0VN.01A.21R.A10U.07	0	0	0.00787547000530271	0.337776300610516	0	0	0.163482953442488	0.0356575566575964	0.0121304106626976	0	0.00271252845741921	0.0430636181937532	0	0.130441030745089	0.112924018695943	0.126901398864929	0.0212192988032466	0	0.00419996974499113	0	0	0.0016154451160274	0	0.419505138711466	0.908694885853313
TCGA.LP.A4AV.01A.11R.A32Y.07	0.0766144772551795	0	0.0913946591860575	0.165606013150739	0	0	0.159872388631004	0.0144195841487768	0.0345678061440359	0	0	0.0555077125364896	0.00972797505300841	0.11803089145455	0.0701289457543177	0.090910563457111	0.00886792166611802	0.00346311758601505	0.0966284617135936	0	0	0.00425948226300417	0.02	0.351587115452739	0.936684390291287
